draw,staker_count,staker_tvl,initial_player_threshold,player_threshold,activation_threshold_pct,funding_minutes,threshold_decay_steps,cycle_minutes,pending_withdrawn_count,pending_withdrawn_tvl,player_position_count,player_tvl,bootstrap_player_tvl,countdown_player_tvl,player_effective_wallet_count,player_largest_share,player_gini,median_player_profit_multiple,target_player_probability,activated,activation_reason,winner_mode,winner_id,gross_prize,protocol_fee,winner_profit,staker_jackpot_paid,staker_pro_rata_paid,staker_erosion_paid,protocol_revenue_cumulative,staker_cumulative_pnl,player_cumulative_pnl
1,398,9185.859567147,91.858595671,54.241582158,0.0059049,50,5,55,0,0,10,101.859415166,82.667956576,19.19145859,3.347054,0.511573,0.543896,20.959104057,0.9,True,activated,player,player_00100,101.859415166,2.487545226,53.693460992,0.0,0.0,6.430101697,2.487545226,-6.430101697,3.942556471
2,398,9196.010194165,91.960101942,48.871368536,0.00531441,60,6,65,0,0,14,57.15289139,55.118510117,2.034381273,10.752026,0.15123,0.308963,15.850892931,0.9,True,activated,staker,staker_00007,57.15289139,2.857644569,17.145867417,17.145867417,37.149379403,0.0,5.345189796,47.865145123,-53.210334919
3,401,9235.82291629,92.358229163,54.536610738,0.0059049,50,5,55,0,0,6,61.958007725,61.958007725,0,2.039636,0.679787,0.591059,18.880200062,0.9,True,activated,player,player_00031,61.958007725,0.991986494,23.184803931,0.0,0.0,4.337060541,6.33717629,43.528084583,-49.865260873
4,407,9483.965961218,94.839659612,45.36151519,0.004782969,70,7,75,0,0,15,65.241766869,49.836045503,15.405721366,8.747327,0.218029,0.415817,26.287849896,0.9,True,activated,player,player_00059,65.241766869,3.201046456,65.386806353,0.0,0.0,4.566923681,9.538222746,38.961160902,-48.499383648
5,412,9574.927622675,95.749276227,56.538990119,0.0059049,50,5,55,0,0,13,83.345933478,65.855201506,17.490731972,6.472102,0.24869,0.508561,25.257369174,0.9,True,activated,staker,staker_00090,83.345933478,4.167296674,25.003780043,25.003780043,54.174856761,0.0,13.70551942,118.139797706,-131.845317126
6,411,9616.592138482,96.165921385,45.995862084,0.004782969,70,7,75,0,0,11,62.326948755,48.936974344,13.389974411,8.997697,0.159371,0.258737,12.788614566,0.9,True,activated,player,player_00015,62.326948755,2.655829864,54.823653834,0.0,0.0,4.362886413,16.361349284,113.776911293,-130.138260578
7,415,9757.615930442,97.576159304,42.003337058,0.004304672,80,8,85,1,6.256824791,13,62.380431503,44.342157889,18.038273614,7.363456,0.289166,0.387299,17.318239324,0.9,True,activated,player,player_00018,62.380431503,2.947053042,60.360637994,0.0,0.0,4.366630205,19.308402326,109.410281088,-128.718683414
8,415,9822.594790116,98.225947901,58.001439976,0.0059049,50,5,55,1,2.109665796,12,114.563782703,74.902032697,39.661750006,4.763184,0.340242,0.57417,27.654306654,0.9,True,activated,staker,staker_00017,114.563782703,5.728189135,34.369134811,34.369134811,74.466458757,0.0,25.036591461,218.245874656,-243.282466117
9,411,9714.863835736,97.148638357,57.365299464,0.0059049,50,5,55,0,0,12,65.432056972,58.921522497,6.510534475,7.456317,0.258204,0.368632,17.058205336,0.9,True,activated,player,player_00004,65.432056972,3.032928207,62.205879929,0.0,0.0,4.580243988,28.069519668,213.665630668,-241.735150336
10,411,9664.232822035,96.64232822,63.407031545,0.006561,40,4,45,0,0,12,88.168880665,66.654786114,21.514094551,4.904808,0.382782,0.535377,25.592501859,0.9,True,activated,player,player_00127,88.168880665,4.037624421,82.886685641,0.0,0.0,6.171821647,32.107144089,207.493809021,-239.60095311
11,415,9696.431507911,96.964315079,63.618287123,0.006561,40,4,45,0,0,9,86.755372013,63.794216555,22.961155458,3.730356,0.46749,0.524117,15.002119174,0.9,True,activated,staker,staker_00426,86.755372013,4.337768601,26.026611604,26.026611604,56.390991808,0.0,36.44491269,289.911412434,-326.356325123
12,419,9757.663810987,97.57663811,46.67060352,0.004782969,70,7,75,0,0,15,66.613600875,50.038789042,16.574811833,6.403189,0.336775,0.453817,16.86022246,0.9,True,activated,player,player_00121,66.613600875,2.208990111,46.633764176,0.0,0.0,4.662952061,38.653902801,285.248460372,-323.902363173
13,424,9839.664910968,98.39664911,58.102237333,0.0059049,50,5,55,0,0,11,87.962605956,59.268625575,28.693980381,5.674168,0.306942,0.466294,11.124984942,0.9,True,activated,player,player_00027,87.962605956,4.094304966,83.949176769,0.0,0.0,6.157382417,42.748207767,279.091077955,-321.839285722
14,428,9985.796578267,99.857965783,65.51681135,0.006561,40,4,45,0,0,17,174.001451438,88.537815637,85.463635801,9.301656,0.203297,0.472519,25.190809627,0.9,True,activated,staker,staker_00328,174.001451438,8.700072572,52.200435431,52.200435431,113.100943435,0.0,51.448280339,444.392456821,-495.84073716
15,432,10041.5422619,100.415422619,38.902992134,0.003874205,90,9,95,1,6.459609557,19,109.357705471,63.517742345,45.839963126,8.317246,0.248152,0.499351,31.153106161,0.9,True,activated,player,player_00018,109.357705471,5.243845056,106.662135653,0.0,0.0,7.029079583,56.692125395,437.363377238,-494.055502633
16,434,10083.199796032,100.83199796,59.540286476,0.0059049,50,5,55,1,1.845372104,10,94.418827148,75.244913549,19.173913599,2.834587,0.554464,0.516681,17.029002828,0.9,True,activated,player,player_00144,94.418827148,3.871445451,80.166781462,0.0,0.0,6.6093179,60.563570846,430.754059338,-491.317630184
17,432,10007.51194245,100.075119425,47.865619388,0.004782969,70,7,75,0,0,13,78.513606766,59.072459762,19.441147004,4.250616,0.413067,0.59567,33.734348963,0.9,True,activated,player,player_00158,78.513606766,3.08351915,64.082816324,0.0,0.0,5.495952474,63.647089996,425.258106864,-488.90519686
18,429,9950.539106137,99.505391061,38.550427263,0.003874205,90,9,95,1,1.946882643,17,80.591352101,46.497818461,34.09353364,9.178818,0.211337,0.46433,29.009831667,0.9,True,activated,player,player_00098,80.591352101,3.521545027,72.550750161,0.0,0.0,5.641394647,67.168635023,419.616712217,-486.78534724
19,433,9966.748288948,99.667482889,52.967386774,0.00531441,60,6,65,0,0,14,88.645246449,54.566131139,34.07911531,5.014064,0.35584,0.519353,31.641377064,0.9,True,activated,staker,staker_00412,88.645246449,4.432262322,26.593573935,26.593573935,57.619410192,0.0,71.600897345,503.829696344,-575.430593689
20,436,10023.872313675,100.238723137,53.270967263,0.00531441,60,6,65,0,0,10,65.901424798,53.506394153,12.395030645,2.583015,0.59881,0.644161,36.698992912,0.9,True,activated,player,player_00145,65.901424798,1.321949831,29.730146533,0.0,0.0,4.613099736,72.922847177,499.216596608,-572.139443785
21,436,10015.175966059,100.151759661,47.902276175,0.004782969,70,7,75,1,1.077257562,12,59.173118516,57.848692276,1.32442624,8.010242,0.197422,0.385941,17.271624739,0.9,True,activated,player,player_00020,59.173118516,2.830091639,57.913859442,0.0,0.0,4.142118296,75.752938816,495.074478312,-570.827417128
22,442,10137.482790435,101.374827904,53.874739916,0.00531441,60,6,65,1,6.222456642,10,69.164412337,68.324309695,0.840102642,6.520573,0.227913,0.391987,14.86881241,0.9,True,activated,player,player_00170,69.164412337,2.828885927,58.590341475,0.0,0.0,4.841508864,78.581824743,490.232969448,-568.814794191
23,447,10173.943162114,101.739431621,54.06850528,0.00531441,60,6,65,1,8.086458492,11,63.633136577,61.931893647,1.70124293,5.914261,0.265004,0.467419,11.801557475,0.9,True,activated,player,player_00008,63.633136577,3.054705331,62.49372084,0.0,0.0,4.45431956,81.636530073,485.778649888,-567.415179961
24,443,10053.011314232,100.530113142,53.425823858,0.00531441,60,6,65,0,0,14,72.799489065,61.827861966,10.971627099,3.058132,0.553461,0.619011,29.015490752,0.9,True,activated,player,player_00075,72.799489065,3.49280717,71.459300463,0.0,0.0,5.095964235,85.129337243,480.682685653,-565.812022897
25,444,10108.513125854,101.085131259,48.348704917,0.004782969,70,7,75,1,2.257763629,12,70.974921221,69.937469346,1.037451875,7.327925,0.220543,0.422559,17.290233769,0.9,True,activated,player,player_00158,70.974921221,2.766093378,57.524018669,0.0,0.0,4.968244485,87.895430621,475.714441168,-563.609871789
26,446,10124.175082875,101.241750829,59.782241447,0.0059049,50,5,55,0,0,12,109.475606115,60.689231931,48.786374184,4.744119,0.325868,0.597148,35.670811223,0.9,True,activated,player,player_00011,109.475606115,5.195717867,105.805562038,0.0,0.0,7.086922558,93.091148489,468.62751861,-561.718667098
27,447,10124.240623804,101.242406238,53.804365614,0.00531441,60,6,65,0,0,12,102.370172511,76.993272203,25.376900308,6.856546,0.216731,0.440709,17.067137608,0.9,True,activated,staker,staker_00233,102.370172511,5.118508626,30.711051753,30.711051753,66.540612132,0.0,98.209657114,565.879182495,-664.088839609
28,444,10090.671920756,100.906719208,66.204898472,0.006561,40,4,45,0,0,12,89.579740195,72.24279499,17.336945205,8.069075,0.235532,0.363882,13.612895699,0.9,True,activated,staker,staker_00005,89.579740195,4.47898701,26.873922059,26.873922059,58.226831127,0.0,102.688644124,650.97993568,-753.668579804
29,445,10102.611928752,101.026119288,43.488431707,0.004304672,80,8,85,0,0,16,63.897146602,47.714962869,16.182183733,7.245562,0.265542,0.422621,24.02001418,0.9,True,activated,player,player_00060,63.897146602,3.017368206,61.802796177,0.0,0.0,4.472800262,105.70601233,646.507135418,-752.213147748
30,446,10121.72974188,101.217297419,48.411919582,0.004782969,70,7,75,0,0,16,67.876546716,54.654272718,13.222273998,8.685704,0.246048,0.343453,16.118252049,0.9,True,activated,player,player_00044,67.876546716,3.064312185,62.973289787,0.0,0.0,4.75135827,108.770324515,641.755777148,-750.526101663
31,448,10130.434125674,101.304341257,66.465778299,0.006561,40,4,45,0,0,8,72.600096071,72.600096071,0,2.576496,0.590653,0.622386,19.402750091,0.9,True,activated,player,player_00112,72.600096071,3.125633138,64.469036339,0.0,0.0,5.082006725,111.895957653,636.673770423,-748.569728076
