participant_id,mode,archetype,staker_principal,active,active_from_draw,bankroll,cumulative_pnl,wins,losses,entries,withdrawals,fees_paid,pro_rata_received
player_00001,player,persistent_player,0.0,True,1,48.978425141,22.174647742,1,7,8,0,3.495937098,0.0
player_00002,player,persistent_player,0.0,True,1,126.170951119,3.303954289,1,5,6,0,2.540044011,0.0
player_00003,player,persistent_player,0.0,True,1,19.807762755,-18.5553412,0,7,7,0,0.0,0.0
player_00004,player,persistent_player,0.0,True,1,29.840863516,-24.366086712,0,5,5,2,0.0,0.0
player_00005,player,persistent_player,0.0,True,1,5.483183489,-11.798833793,0,11,11,0,0.0,0.0
player_00006,player,persistent_player,0.0,True,1,21.326485493,-22.286540462,0,7,7,0,0.0,0.0
player_00007,player,persistent_player,0.0,True,1,71.257786897,14.116441819,2,13,15,0,4.666018576,0.0
player_00008,player,persistent_player,0.0,True,1,4.822326488,-14.880253917,0,14,14,0,0.0,0.0
player_00009,player,persistent_player,0.0,True,1,6.902919359,-23.770712425,0,13,13,0,0.0,0.0
player_00010,player,persistent_player,0.0,True,1,125.512787135,24.162661096,1,12,13,0,5.895819577,0.0
player_00011,player,persistent_player,0.0,True,1,39.869629247,-1.041226831,2,12,14,0,4.354174281,0.0
player_00012,player,persistent_player,0.0,True,1,15.467152594,-70.837206139,0,16,16,0,0.0,0.0
player_00013,player,persistent_player,0.0,True,1,16.091615328,-31.22055571,0,11,11,0,0.0,0.0
player_00014,player,persistent_player,0.0,True,1,24.974516567,-51.231708399,0,12,12,0,0.0,0.0
player_00015,player,persistent_player,0.0,True,1,64.298351133,-45.222607307,0,8,8,0,0.0,0.0
player_00016,player,persistent_player,0.0,True,1,38.486791935,20.359698089,1,9,10,1,4.287175476,0.0
player_00017,player,persistent_player,0.0,True,1,119.445974088,40.324194733,2,10,12,1,5.763944222,0.0
player_00018,player,persistent_player,0.0,True,1,22.273954648,-53.000938357,0,13,13,0,0.0,0.0
player_00019,player,persistent_player,0.0,True,1,7.906066917,-23.488331834,0,12,12,0,0.0,0.0
player_00020,player,persistent_player,0.0,True,1,24.701234874,5.883294036,1,8,9,0,2.84074615,0.0
player_00021,player,persistent_player,0.0,True,1,16.452393262,-21.091122583,1,13,14,0,1.698195198,0.0
player_00022,player,persistent_player,0.0,True,1,16.793224075,-27.61411203,0,9,9,0,0.0,0.0
player_00023,player,persistent_player,0.0,True,1,98.96920208,56.521336429,2,7,9,0,5.510884171,0.0
player_00024,player,persistent_player,0.0,True,1,5.18826531,-7.31173469,0,9,9,1,0.0,0.0
