draw,phase,participant_id,archetype,amount,player_tvl_before_deposit,early_boost,second_draw_weight,entered_at_minute,withdrawn_at_minute,probability_if_player_side_wins,probability_side_and_wallet,profit_if_win,payout_multiple,ev,status,pnl,fee_paid
1,bootstrap,player_00097,occasional_player,3.687762164,0,1.5,5.531643246,0,,0.041780656,0.03760259,99.693172049,27.033514531,0.199628752,lost,-3.687762164,0.0
1,bootstrap,player_00095,persistent_player,3.176374719,3.687762164,1.479926962,4.700802588,10,,0.035505293,0.031954764,100.178990122,31.538782097,0.126321562,lost,-3.176374719,0.0
1,bootstrap,player_00064,persistent_player,6.569231298,6.864136883,1.462637482,9.608403924,20,,0.072572543,0.065315289,96.955776372,14.75907484,0.192534479,lost,-6.569231298,0.0
1,bootstrap,player_00017,persistent_player,6.258331009,13.433368181,1.426880179,8.929888469,30,,0.067447697,0.060702927,97.251131646,15.539467552,0.024996374,lost,-6.258331009,0.0
1,bootstrap,player_00098,opportunistic_player,4.559436829,19.69169919,1.392815152,6.350452701,30,,0.047965147,0.043168632,98.865081117,21.68361682,-0.094741882,lost,-4.559436829,0.0
1,bootstrap,player_00003,persistent_player,4.753749633,24.251136019,1.367997459,6.50311742,40,,0.049118227,0.044206405,98.680483953,20.758452079,-0.181294041,lost,-4.753749633,0.0
1,bootstrap,player_00099,occasional_player,1.554560279,29.004885652,1.342122093,2.086409695,50,,0.015758711,0.01418284,101.71971384,65.433110066,-0.089837812,lost,-1.554560279,0.0
1,bootstrap,player_00100,player_whale,52.108510645,30.559445931,1.33366039,69.495056637,50,,0.524898103,0.472408293,53.693460992,1.030416343,-2.126781823,won,53.693460992,2.487545226
1,countdown,player_00058,persistent_player,4.667466522,82.667956576,1.0,4.667466522,50,,0.035253505,0.031728154,98.762452909,21.159756035,-1.385826061,lost,-4.667466522,0.0
1,countdown,player_00027,persistent_player,14.523992068,87.335423098,1.0,14.523992068,50,,0.109700118,0.098730106,89.39875364,6.155246658,-4.263688379,lost,-14.523992068,0.0
2,bootstrap,player_00047,persistent_player,7.451473143,0,1.5,11.177209715,0,,0.144655765,0.130190189,51.217049732,6.873412646,0.186592934,lost,-7.451473143,0.0
2,bootstrap,player_00099,occasional_player,0.89378134,7.451473143,1.459485293,1.304460721,10,,0.016882368,0.015194131,57.446856945,64.273949761,-0.007346044,lost,-0.89378134,0.0
2,bootstrap,player_00042,persistent_player,5.647825166,8.345254483,1.454625678,8.215471513,10,,0.106324866,0.095692379,52.93051531,9.371840267,-0.042324407,lost,-5.647825166,0.0
2,bootstrap,player_00046,persistent_player,6.546124908,13.993079649,1.423917659,9.321142855,20,,0.120634495,0.108571046,52.077130555,7.955413514,-0.181336747,lost,-6.546124908,0.0
2,bootstrap,player_00017,persistent_player,4.780117336,20.539204557,1.388325458,6.636358589,20,,0.085887941,0.077299147,53.754837749,11.245505909,-0.25541523,lost,-4.780117336,0.0
2,bootstrap,player_00083,persistent_player,2.850431529,25.319321893,1.362335288,3.883243458,30,,0.050257047,0.045231342,55.588039265,19.501622368,-0.207181049,lost,-2.850431529,0.0
2,bootstrap,player_00101,opportunistic_player,1.108288763,28.169753422,1.346837091,1.492684414,30,,0.019318364,0.017386528,57.243074893,51.649964165,-0.093761165,lost,-1.108288763,0.0
2,bootstrap,player_00018,persistent_player,8.643234421,29.278042185,1.340811169,11.588945251,40,,0.149984458,0.134986013,50.084876518,5.794691441,-0.715760897,lost,-8.643234421,0.0
2,bootstrap,player_00102,occasional_player,3.362703755,37.921276606,1.293816689,4.350722238,40,,0.056307171,0.050676454,55.101380651,16.38603477,-0.399951291,lost,-3.362703755,0.0
2,bootstrap,player_00077,persistent_player,2.70506004,41.283980361,1.275533196,3.450393878,50,,0.044655096,0.040189586,55.72614218,20.600704367,-0.356734215,lost,-2.70506004,0.0
2,bootstrap,player_00103,opportunistic_player,4.705923152,43.989040401,1.260825404,5.933347461,50,,0.076789551,0.069110596,53.825322223,11.437781809,-0.66079389,lost,-4.705923152,0.0
2,bootstrap,player_00104,occasional_player,2.839577469,48.694963553,1.235238639,3.507555807,60,,0.045394887,0.040855398,55.598350622,19.579797075,-0.45207265,lost,-2.839577469,0.0
2,bootstrap,player_00038,persistent_player,3.583969095,51.534541022,1.219799457,4.371723555,60,,0.05657897,0.050921073,54.891178578,15.315751091,-0.606351812,lost,-3.583969095,0.0
2,countdown,player_00105,opportunistic_player,2.034381273,55.118510117,1.0,2.034381273,60,,0.02632902,0.023696118,56.363287008,27.70537055,-0.650583224,lost,-2.034381273,0.0
