operation,input0,input1,input2,output0,output1,output2,output3,output4,output5
threshold,100000000000,0,0,1000000000,0,0,0,0,0
threshold,100000000000,600,0,900000000,0,0,0,0,0
threshold,100000000000,1200,0,810000000,0,0,0,0,0
threshold,1000000000,0,0,100000000,0,0,0,0,0
threshold,50000000000,600000,0,100000000,0,0,0,0,0
boost,0,100000000000,0,15000,0,0,0,0,0
boost,25000000000,100000000000,0,13750,0,0,0,0,0
boost,75000000000,100000000000,0,11250,0,0,0,0,0
boost,100000000000,100000000000,0,10000,0,0,0,0,0
boost,0,100000000000,1,10000,0,0,0,0,0
weight,2000000000,13750,0,2750000000,0,0,0,0,0
erosion,1000000000000,10000000000,0,700000000,0,0,0,0,0
erosion,1000000000000,1000000000,0,70000000,0,0,0,0,0
player_settlement,1000000000000,10000000000,4000000000,6000000000,700000000,6700000000,6365000000,10365000000,335000000
player_settlement,0,2,1,1,0,1,0,1,1
staker_settlement,10000000000,0,0,3000000000,6500000000,500000000,0,0,0
staker_settlement,1,0,0,0,0,1,0,0,0
