draw,staker_count,staker_tvl,initial_player_threshold,player_threshold,activation_threshold_pct,funding_minutes,threshold_decay_steps,cycle_minutes,pending_withdrawn_count,pending_withdrawn_tvl,player_position_count,player_tvl,bootstrap_player_tvl,countdown_player_tvl,player_effective_wallet_count,player_largest_share,player_gini,median_player_profit_multiple,target_player_probability,activated,activation_reason,winner_mode,winner_id,gross_prize,protocol_fee,winner_profit,staker_jackpot_paid,staker_pro_rata_paid,staker_erosion_paid,protocol_revenue_cumulative,staker_cumulative_pnl,player_cumulative_pnl
1,99,478.53810084,4.785381008,2.825719632,0.0059049,50,5,55,0,0,10,12.252534839,3.287856057,8.964678782,5.319996,0.259697,0.494637,16.816441833,0.9,True,activated,player,player_00006,12.252534839,0.569642952,11.158192766,0.0,0.0,0.334976671,0.569642952,-0.334976671,-0.234666282
2,99,481.333461531,4.813334615,3.508920935,0.00729,30,3,35,0,0,8,7.627851738,3.734218029,3.893633709,4.255993,0.402282,0.462726,10.280739438,0.9,True,activated,player,player_00007,7.627851738,0.349974814,6.986454881,0.0,0.0,0.336933423,0.919617766,-0.671910094,-0.247707672
3,99,510.60248437,5.106024844,4.135880123,0.0081,20,2,25,0,0,7,10.127135649,4.500195207,5.626940442,6.047999,0.230579,0.220129,5.720640312,0.9,True,activated,player,player_00013,10.127135649,0.414264568,8.228448535,0.0,0.0,0.357421739,1.333882334,-1.029331833,-0.304550501
4,101,527.088001222,5.270880012,3.458224376,0.006561,40,4,45,0,0,8,12.126131654,4.95920534,7.166926314,4.640249,0.379907,0.414542,10.110017281,0.9,True,activated,player,player_00031,12.126131654,0.549267562,10.805045281,0.0,0.0,0.368961601,1.883149896,-1.398293434,-0.484856463
5,101,526.298608504,5.262986085,3.836716856,0.00729,30,3,35,0,0,7,11.627844636,5.785605595,5.842239041,4.818351,0.306747,0.376622,8.701453876,0.9,True,activated,player,player_00035,11.627844636,0.403051676,8.026390864,0.0,0.0,0.368409026,2.286201572,-1.76670246,-0.519499112
6,102,526.261142678,5.262611427,3.83644373,0.00729,30,3,35,0,0,7,7.507678014,4.754986315,2.752691699,3.762409,0.384203,0.324565,7.39728281,0.9,True,activated,staker,staker_00106,7.507678014,0.375383901,2.252303404,2.252303404,4.879990709,0.0,2.661585473,5.365591654,-8.027177126
7,102,529.575853091,5.295758531,3.474547172,0.006561,40,4,45,0,0,7,7.875599703,4.091953769,3.783645934,3.724118,0.452508,0.447961,8.105053141,0.9,True,activated,player,player_00039,7.875599703,0.215591417,4.466940019,0.0,0.0,0.370703097,2.87717689,4.994888557,-7.872065446
8,100,504.491782135,5.044917821,3.677745092,0.00729,30,3,35,0,0,9,8.95550127,4.004406839,4.951094431,6.30762,0.260886,0.192134,6.231936637,0.9,True,activated,player,player_00043,8.95550127,0.414218626,8.223298138,0.0,0.0,0.353144247,3.291395515,4.641744309,-7.933139825
9,99,502.200816253,5.022008163,2.66890104,0.00531441,60,6,65,0,0,11,8.534762892,3.32579364,5.208969252,5.555567,0.351614,0.438273,17.444065473,0.9,True,activated,player,player_00010,8.534762892,0.276691011,5.608669772,0.0,0.0,0.351540571,3.568086526,4.290203738,-7.858290264
10,98,501.466620002,5.0146662,3.290122494,0.006561,40,4,45,0,0,8,7.745317354,3.863255303,3.882062051,3.125355,0.519496,0.398057,9.659877075,0.9,True,activated,player,player_00047,7.745317354,0.186082852,3.886600815,0.0,0.0,0.351026634,3.754169378,3.939177104,-7.693346481
11,100,509.339297297,5.093392973,3.34177513,0.006561,40,4,45,0,0,5,3.848292636,3.848292636,0,3.270215,0.459509,0.377062,7.144415443,0.9,True,activated,player,player_00013,3.848292636,0.142795784,2.982500379,0.0,0.0,0.269380485,3.896965162,3.669796619,-7.566761781
12,99,507.764848043,5.07764848,3.701605742,0.00729,30,3,35,0,0,7,5.085100895,3.727491724,1.357609171,5.219076,0.310503,0.312603,5.830317234,0.9,True,activated,staker,staker_00116,5.085100895,0.254255045,1.525530269,1.525530269,3.305315582,0.0,4.151220206,8.500642469,-12.651862676
13,98,494.744343323,4.947443433,2.921415873,0.0059049,50,5,55,0,0,8,6.245579775,4.845571377,1.400008398,5.334136,0.329196,0.362745,8.762651637,0.9,True,activated,player,player_00048,6.245579775,0.282242387,5.708926403,0.0,0.0,0.34632104,4.433462594,8.154321429,-12.587784023
14,101,516.508924484,5.165089245,4.183722288,0.0081,20,2,25,0,0,4,5.943723287,5.072023472,0.871699815,2.853892,0.508976,0.331569,4.561008031,0.9,True,activated,player,player_00058,5.943723287,0.224442405,4.625961939,0.0,0.0,0.361556247,4.657904999,7.792765182,-12.450670181
15,105,541.323154672,5.413231547,3.946245798,0.00729,30,3,35,0,0,5,4.955365598,4.609062394,0.346303204,4.030531,0.363135,0.270701,4.196215775,0.9,True,activated,player,player_00026,4.955365598,0.157794962,3.344979861,0.0,0.0,0.346875592,4.81569996,7.44588959,-12.26158955
16,106,522.470528423,5.224705284,3.085136223,0.0059049,50,5,55,0,0,7,4.657351941,3.904068188,0.753283753,4.920252,0.265148,0.355702,5.356387149,0.9,True,activated,player,player_00066,4.657351941,0.195203409,4.034879414,0.0,0.0,0.326014636,5.01090337,7.119874954,-12.130778324
17,106,522.144513787,5.221445138,3.806433506,0.00729,30,3,35,0,0,5,4.315132951,4.022135828,0.292997123,3.500223,0.43401,0.346892,6.263289859,0.9,True,activated,player,player_00006,4.315132951,0.122116204,2.622267173,0.0,0.0,0.302059307,5.133019573,6.817815648,-11.950835221
18,106,521.842454481,5.218424545,2.773284759,0.00531441,60,6,65,0,0,7,3.117487819,3.117487819,0,5.350929,0.250745,0.310728,4.950278871,0.9,True,activated,staker,staker_00005,3.117487819,0.155874391,0.935246346,0.935246346,2.026367082,0.0,5.288893964,9.779429076,-15.06832304
19,107,523.112249861,5.231122499,3.432139471,0.006561,40,4,45,0,0,8,6.827662493,3.88297561,2.944686883,4.165494,0.37824,0.500125,16.9210006,0.9,True,activated,player,player_00043,6.827662493,0.212258207,4.399084509,0.0,0.0,0.366178575,5.501152171,9.413250501,-14.914402672
20,106,520.30476938,5.203047694,3.413719592,0.006561,40,4,45,0,0,10,11.425164498,4.672789396,6.752375102,4.964884,0.303749,0.441563,12.535689112,0.9,True,activated,player,player_00010,11.425164498,0.397739064,7.921255559,0.0,0.0,0.364213339,5.898891235,9.049037162,-14.947928398
21,106,518.688095846,5.186880958,3.062801337,0.0059049,50,5,55,0,0,10,8.764402927,4.583247597,4.18115533,7.327633,0.22521,0.322513,12.263743644,0.9,True,activated,player,player_00025,8.764402927,0.391493167,7.801451835,0.0,0.0,0.363081667,6.290384402,8.685955495,-14.976339897
22,106,518.325014179,5.183250142,2.754591639,0.00531441,60,6,65,1,0.087279191,10,5.70573969,3.086313602,2.619426088,8.421676,0.159279,0.242306,7.897275474,0.9,True,activated,player,player_00076,5.70573969,0.239846803,4.919916757,0.0,0.0,0.36282751,6.530231205,8.323127985,-14.85335919
23,105,516.107668771,5.161076688,3.386182415,0.006561,40,4,45,0,0,7,7.265588361,4.536243764,2.729344597,4.380793,0.319355,0.40994,8.717635618,0.9,True,activated,player,player_00056,7.265588361,0.247264196,5.059295099,0.0,0.0,0.361275368,6.777495401,7.961852617,-14.739348018
24,105,509.914471164,5.099144712,4.130307216,0.0081,20,2,25,0,0,7,8.900126975,4.741030509,4.159096466,5.596503,0.233588,0.279507,4.769913974,0.9,True,activated,player,player_00088,8.900126975,0.341058378,6.837049303,0.0,0.0,0.35694013,7.118553778,7.604912487,-14.723466266
