participant_id,mode,archetype,staker_principal,active,active_from_draw,bankroll,cumulative_pnl,wins,losses,entries,withdrawals,fees_paid,pro_rata_received
player_00001,player,persistent_player,0.0,True,1,3.354004272,-7.280170049,0,11,11,0,0.0,0.0
player_00002,player,persistent_player,0.0,True,1,8.563354396,-6.854779462,0,6,6,0,0.0,0.0
player_00003,player,persistent_player,0.0,True,1,2.391210736,-3.319149967,0,8,8,0,0.0,0.0
player_00004,player,persistent_player,0.0,True,1,13.137389043,9.020515872,1,8,9,0,0.608674992,0.0
player_00005,player,persistent_player,0.0,True,1,1.385544692,-2.807164323,0,11,11,0,0.0,0.0
player_00006,player,persistent_player,0.0,True,1,4.565978479,-5.602462702,0,10,10,1,0.0,0.0
player_00007,player,persistent_player,0.0,True,1,1.748081057,-2.412585864,0,8,8,0,0.0,0.0
player_00008,player,persistent_player,0.0,True,1,3.466409936,-3.077683282,0,6,6,0,0.0,0.0
player_00009,player,persistent_player,0.0,True,1,2.088334267,-2.631620999,0,8,8,0,0.0,0.0
player_00010,player,persistent_player,0.0,True,1,20.72096119,-1.153955739,2,7,9,0,0.66901307,0.0
player_00011,player,persistent_player,0.0,True,1,7.590012782,-3.35284188,2,8,10,0,0.40990085,0.0
player_00012,player,persistent_player,0.0,True,1,1.591718641,-1.738063487,0,7,7,0,0.0,0.0
player_00013,player,persistent_player,0.0,True,1,14.377935707,1.32310539,3,11,14,1,0.858075711,0.0
player_00014,player,persistent_player,0.0,True,1,3.032068607,-5.113861038,0,9,9,0,0.0,0.0
player_00015,player,persistent_player,0.0,True,1,4.512004975,-0.327521125,1,9,10,0,0.356622252,0.0
player_00016,player,persistent_player,0.0,True,1,13.585803885,6.941571693,3,9,12,0,0.668564565,0.0
player_00017,player,persistent_player,0.0,True,1,1.174008786,-3.430335064,0,13,13,0,0.0,0.0
player_00018,player,persistent_player,0.0,True,1,6.800300617,-2.966004177,1,7,8,0,0.297552283,0.0
player_00019,player,persistent_player,0.0,True,1,17.602822178,12.727185474,4,14,18,0,1.431090575,0.0
player_00020,player,persistent_player,0.0,True,1,1.614699153,-4.175170181,0,10,10,0,0.0,0.0
player_00021,player,persistent_player,0.0,True,1,19.731611126,-4.436437308,3,11,15,0,0.92330709,0.0
player_00022,player,persistent_player,0.0,True,1,4.077801291,1.577801291,1,14,15,0,0.215091806,0.0
player_00023,player,persistent_player,0.0,True,1,3.159943727,-3.906740368,0,9,9,0,0.0,0.0
player_00024,player,persistent_player,0.0,True,1,0.760883114,-3.677299792,0,16,16,1,0.0,0.0
player_00025,player,opportunistic_player,0.0,True,1,2.755368877,-5.565425939,0,9,9,0,0.0,0.0
player_00026,player,occasional_player,0.0,True,1,0.57502027,-2.400388315,0,14,14,0,0.0,0.0
player_00027,player,occasional_player,0.0,True,1,2.170709844,-6.119943688,0,8,8,0,0.0,0.0
player_00028,player,occasional_player,0.0,True,1,1.12458911,-3.611953511,0,10,10,1,0.0,0.0
player_00029,player,occasional_player,0.0,True,1,2.669902782,-2.447399703,0,4,4,0,0.0,0.0
player_00030,player,occasional_player,0.0,True,1,36.942487496,16.172313045,6,3,9,0,1.181542731,0.0
player_00031,player,occasional_player,0.0,True,1,11.04170324,-2.80992021,4,10,14,0,0.850133535,0.0
player_00032,player,occasional_player,0.0,True,1,0.697529414,-5.679464337,0,14,14,0,0.0,0.0
player_00033,player,occasional_player,0.0,True,1,1.102684804,-6.10946387,0,13,13,1,0.0,0.0
player_00034,player,occasional_player,0.0,True,1,10.459144136,0.673429556,3,8,11,0,0.711498263,0.0
player_00035,player,occasional_player,0.0,True,1,0.693081977,-1.105200576,0,7,7,0,0.0,0.0
player_00036,player,occasional_player,0.0,True,1,12.528692438,3.215827275,3,5,8,1,0.615213275,0.0
player_00037,player,occasional_player,0.0,True,1,0.699328879,-1.564544316,0,8,8,0,0.0,0.0
player_00038,player,occasional_player,0.0,True,1,7.315235928,4.3988951,3,6,9,1,0.726246907,0.0
player_00039,player,opportunistic_player,0.0,True,1,3.987764557,-7.827547772,0,8,8,0,0.0,0.0
player_00040,player,opportunistic_player,0.0,True,1,11.212679686,2.14838425,2,10,12,0,0.574722184,0.0
player_00041,player,occasional_player,0.0,True,1,11.426897543,-6.315739485,1,8,9,0,0.320831907,0.0
player_00042,player,occasional_player,0.0,True,1,0.458939736,-2.145531662,0,13,13,1,0.0,0.0
player_00043,player,occasional_player,0.0,True,1,0.777104987,-2.93503223,0,9,9,0,0.0,0.0
player_00044,player,occasional_player,0.0,True,1,1.406878745,-1.678930702,0,5,5,0,0.0,0.0
player_00045,player,occasional_player,0.0,True,1,4.911832508,-1.543608461,1,11,12,0,0.342663889,0.0
player_00046,player,occasional_player,0.0,True,1,12.896395382,11.743165434,3,6,9,0,1.004588028,0.0
player_00047,player,occasional_player,0.0,True,1,0.409879811,-1.547747791,0,10,10,1,0.0,0.0
player_00048,player,occasional_player,0.0,True,1,0.195820179,-0.852814618,0,11,11,0,0.0,0.0
player_00049,player,player_whale,0.0,True,1,109.849337207,-28.3505349,4,8,12,0,1.055997656,0.0
player_00050,player,occasional_player,0.0,True,1,0.852101112,-0.627481045,0,4,4,1,0.0,0.0
player_00051,player,occasional_player,0.0,True,1,1.035846185,-2.625372229,0,10,10,0,0.0,0.0
player_00052,player,occasional_player,0.0,True,1,5.852793111,-29.147206889,2,15,17,0,0.323558388,0.0
player_00053,player,occasional_player,0.0,True,1,0.726975936,-2.893265883,0,11,11,0,0.0,0.0
player_00054,player,occasional_player,0.0,True,1,9.945559071,0.134874796,3,10,13,1,0.564120834,0.0
player_00055,player,occasional_player,0.0,True,1,3.130954892,-1.668200729,1,9,10,0,0.292762799,0.0
player_00056,player,occasional_player,0.0,True,1,0.565395992,-2.368433541,0,11,11,0,0.0,0.0
player_00057,player,occasional_player,0.0,True,1,0.194992605,-1.59383382,0,14,14,0,0.0,0.0
player_00058,player,occasional_player,0.0,True,1,0.359943371,-1.163202022,0,10,10,0,0.0,0.0
player_00059,player,occasional_player,0.0,True,1,3.36512794,-6.894422671,0,8,8,0,0.0,0.0
player_00060,player,occasional_player,0.0,True,1,0.32415314,-1.697206827,0,12,12,0,0.0,0.0
player_00061,player,occasional_player,0.0,True,1,14.967581623,8.889025328,3,2,5,0,0.592590746,0.0
player_00062,player,occasional_player,0.0,True,1,0.955615164,-1.275895412,0,5,5,1,0.0,0.0
player_00063,player,occasional_player,0.0,True,1,3.460388331,-0.767227265,1,11,14,0,0.534847621,0.0
player_00064,player,opportunistic_player,0.0,True,1,26.70797192,17.515317524,5,2,7,0,1.12577261,0.0
player_00065,player,player_whale,0.0,True,1,65.605929328,14.463238034,7,6,13,0,1.68201866,0.0
player_00066,player,occasional_player,0.0,True,1,3.947860464,-0.559936184,2,8,10,0,0.312467645,0.0
player_00067,player,occasional_player,0.0,True,1,11.959218527,3.246883475,2,5,7,0,0.489411478,0.0
player_00068,player,occasional_player,0.0,True,1,0.571772401,-8.624988623,0,17,17,0,0.0,0.0
player_00069,player,opportunistic_player,0.0,True,1,11.644589867,2.475957177,3,7,10,0,0.983375521,0.0
player_00070,player,occasional_player,0.0,True,1,1.025466527,-1.766208415,0,9,9,0,0.0,0.0
player_00071,player,player_whale,0.0,True,1,102.099494939,4.181648115,5,6,11,0,1.286146257,0.0
player_00072,player,occasional_player,0.0,True,1,15.979058932,-19.020941068,1,8,9,0,0.146448824,0.0
player_00073,player,occasional_player,0.0,True,1,0.72444181,-1.026816177,0,6,6,1,0.0,0.0
player_00074,player,occasional_player,0.0,True,1,1.230955336,-2.350220045,0,7,7,0,0.0,0.0
player_00075,player,occasional_player,0.0,True,1,2.325368437,-4.561983095,0,7,7,0,0.0,0.0
player_00076,player,occasional_player,0.0,True,1,5.978538632,0.546150958,2,7,9,0,0.360522404,0.0
