draw,phase,participant_id,archetype,amount,player_tvl_before_deposit,early_boost,second_draw_weight,entered_at_minute,withdrawn_at_minute,probability_if_player_side_wins,probability_side_and_wallet,profit_if_win,payout_multiple,ev,status,pnl,fee_paid
1,bootstrap,player_00017,persistent_player,0.554306901,0,1.5,0.831460352,0,,0.108738838,0.097864954,5.786973353,10.440016789,0.0662822,lost,-0.554306901,0.0
1,bootstrap,player_00013,persistent_player,0.55113735,0.554306901,1.442083305,0.794785971,10,,0.103942542,0.093548288,5.789984426,10.505519951,0.042063737,lost,-0.55113735,0.0
1,bootstrap,player_00003,persistent_player,0.816919679,1.105444251,1.383960182,1.130584307,20,,0.147858432,0.133072589,5.537491214,6.778501432,0.028678227,lost,-0.816919679,0.0
1,bootstrap,player_00018,persistent_player,0.69481214,1.92236393,1.298207136,0.902010078,30,,0.11796537,0.106168833,5.653493376,8.136722216,-0.020819954,won,5.653493376,0.297552283
1,bootstrap,player_00021,persistent_player,1.297541437,2.61717607,1.225271866,1.589841018,40,,0.207920275,0.187128247,5.080900543,3.915790586,-0.103954769,lost,-1.297541437,0.0
1,countdown,player_00024,persistent_player,0.559375355,3.914717507,1.0,0.559375355,40,,0.073155414,0.065839872,5.782158321,10.336812785,-0.141849587,lost,-0.559375355,0.0
1,countdown,player_00019,persistent_player,0.685146441,4.474092862,1.0,0.685146441,40,,0.089603825,0.080643442,5.66267579,8.264913091,-0.173236204,lost,-0.685146441,0.0
1,countdown,player_00025,opportunistic_player,1.153193734,5.159239303,1.0,1.153193734,40,,0.150815305,0.135733774,5.218030861,4.524851903,-0.288403372,lost,-1.153193734,0.0
2,bootstrap,player_00020,persistent_player,0.870583811,0,1.5,1.305875717,0,,0.144847676,0.130362909,6.25910931,7.189553988,0.058863722,lost,-0.870583811,0.0
2,bootstrap,player_00026,occasional_player,0.181774473,0.870583811,1.409244223,0.256164626,10,,0.028413769,0.025572392,6.913478181,38.033273139,-0.000331891,lost,-0.181774473,0.0
2,bootstrap,player_00021,persistent_player,3.542064578,1.052358284,1.390294774,4.924513871,20,,0.546226859,0.491604173,3.721202582,1.05057446,0.028587866,lost,-3.542064578,0.0
