scenario,seed,capital_scale,activated_draws,activation_rate,player_wins,staker_wins,player_win_rate,avg_stakers,avg_staker_tvl,avg_player_positions,avg_player_tvl,median_funding_minutes,p90_funding_minutes,max_funding_minutes,avg_activation_threshold_pct,avg_pending_withdrawn_positions,draws_reaching_floor,minutes_at_floor,funding_clock_resets,funding_staker_withdrawals,queued_staker_withdrawals,avg_queued_staker_withdrawal_minutes,draws_over_24h_funding,max_abs_conservation_error,draws_per_day,avg_effective_player_wallets,median_largest_player_share,median_player_gini,median_player_winner_profit,median_staker_jackpot,median_staker_prorata,protocol_revenue,protocol_revenue_per_day,protocol_take_per_player_sol,staker_pnl,staker_return_per_draw,player_pnl,player_ev_per_stake,player_pnl_per_stake,profitable_stakers,profitable_staker_rate,stakers,profitable_players,profitable_player_rate,players,stage,case_id,changes,draws,safe_pro_rata_share
small,20280811,0.2,300,1.0,273,27,0.91,30.23,44.40583524468666,5.693333333333333,1.1260877582166666,20.0,40.0,60.0,0.0080680107,0.02,0,0.0,0,11,10,5.0,0,0.0,54.54545454545455,3.368508113333333,0.4586285,0.39684549999999996,0.610886456,0.340247469,0.737202849,11.836920361240214,2.1521673384073114,0.03503847805487146,21.2721293126457,0.0015967968470383253,-33.1090496738859,-0.10593109611771366,-0.09800612617237842,108,0.8181818181818182,132,132,0.22372881355932203,590,pairwise,baseline,{},300,0.6499999999999999
medium,20280817,1.0,300,1.0,278,22,0.9266666666666666,95.56333333333333,467.17451093589665,6.836666666666667,6.802181889586667,40.0,50.0,80.0,0.006979289356666666,0.11333333333333333,0,0.0,6,101,23,5.0,0,0.0,35.55555555555556,3.9474171166666667,0.40362149999999997,0.431983,4.173898328,2.2001152260000003,4.766916322,76.58242281791644,9.076435296938245,0.03752836176244913,58.07304516792086,0.0004143565470611998,-134.65546798583728,-0.09205782154160903,-0.06598640954308056,228,0.4596774193548387,496,150,0.22255192878338279,674,pairwise,baseline,{},300,0.6499999999999999
large,20280829,5.0,300,1.0,259,41,0.8633333333333333,343.2966666666667,8242.681670459844,12.74,63.26825039039,60.0,80.0,120.0,0.0052198811966666665,0.3333333333333333,0,0.0,6,633,113,5.0,0,1e-12,21.001458434613514,6.3043528,0.2874605,0.495649,50.240219172,18.506117258,40.096587393,847.2446396829547,59.31124361416893,0.04463769396999408,1374.4510277990553,0.0005558268060279534,-2221.6956674820035,-0.07847221713517992,-0.11705163615627488,1498,0.722972972972973,2072,151,0.14020427112349118,1077,pairwise,baseline,{},300,0.6499999999999999
small,20280811,0.2,300,1.0,254,46,0.8466666666666667,38.663333333333334,54.38234896748,5.743333333333333,1.2179690034133333,20.0,40.0,60.0,0.007911219166666667,0.056666666666666664,0,0.0,2,15,8,5.0,0,0.0,50.70422535211267,3.3222223233333334,0.453122,0.427999,0.6437207225,0.3792734455,0.7901530109999999,19.881802409727115,3.360304632629935,0.054412447700526494,45.99408619906346,0.0028191798179814666,-65.87588860879058,-0.16662622838026725,-0.18028890287622198,153,0.8895348837209303,172,119,0.19349593495934958,615,pairwise,pair__protocol_fee_rate-0p075__target_risk_probability-0p85,"{""protocol_fee_rate"":0.075,""target_risk_probability"":0.85}",300,0.625
medium,20280817,1.0,300,1.0,240,60,0.8,97.48666666666666,540.5650146943667,7.433333333333334,7.535676681713333,40.0,60.0,80.0,0.006649051836666667,0.13666666666666666,0,0.0,2,118,19,5.0,0,0.0,31.811487481590575,4.140036783333334,0.375613,0.4395105,4.5709713605,1.9631143795,4.089821624000001,133.7556450240949,14.183220090920225,0.05916550947073602,308.1471730550355,0.0019001548668434187,-441.9028180791303,-0.15758361487364309,-0.19547141627925893,473,0.9184466019417475,515,128,0.17510259917920656,731,pairwise,pair__protocol_fee_rate-0p075__target_risk_probability-0p85,"{""protocol_fee_rate"":0.075,""target_risk_probability"":0.85}",300,0.625
large,20280829,5.0,300,1.0,255,45,0.85,343.99,8207.861733501453,12.703333333333333,65.89564307636,60.0,80.0,110.0,0.005292104286666667,0.2733333333333333,0,0.0,3,647,93,5.0,0,1e-12,21.481849825957234,6.352239873333334,0.2837865,0.489503,52.684179187,20.444512188,42.592733724,1347.4412397609196,96.48510120615236,0.06816036067814596,1806.6626727978169,0.0007337122754816432,-3154.10391255874,-0.14874414079467715,-0.15955045307541674,1674,0.7975226298237256,2099,170,0.15440508628519528,1101,pairwise,pair__protocol_fee_rate-0p075__target_risk_probability-0p85,"{""protocol_fee_rate"":0.075,""target_risk_probability"":0.85}",300,0.625
small,20280811,0.2,300,1.0,273,27,0.91,27.543333333333333,31.975080886383335,5.1466666666666665,0.96100562594,20.0,30.0,50.0,0.0077407318,0.03666666666666667,0,0.0,4,9,6,5.0,0,0.0,66.05504587155963,3.1580788666666666,0.460407,0.3880485,0.523152711,0.25531784,0.531912167,14.953954993028846,3.2926139434191954,0.05186912053160207,15.819359704806997,0.0016491341868185557,-30.773314697835872,-0.12380845746841368,-0.10673997413815073,105,0.7664233576642335,137,134,0.2255892255892256,594,pairwise,pair__protocol_fee_rate-0p075__threshold_decay_factor-0p85,"{""protocol_fee_rate"":0.075,""threshold_decay_factor"":0.85}",300,0.625
medium,20280817,1.0,300,1.0,271,29,0.9033333333333333,98.03333333333333,520.3985979795,6.913333333333333,6.32504338091,40.0,50.0,80.0,0.0057744659833333335,0.08666666666666667,0,0.0,3,111,25,5.0,0,0.0,35.64356435643565,4.019325233333333,0.40493049999999997,0.41999699999999995,4.086772465,1.689235111,3.519239816,112.32597719792858,13.345660657179634,0.05919641992071622,73.07580164159353,0.0004680758296000905,-185.4017788395221,-0.10525881316906503,-0.09770777720360216,356,0.688588007736944,517,142,0.20760233918128654,684,pairwise,pair__protocol_fee_rate-0p075__threshold_decay_factor-0p85,"{""protocol_fee_rate"":0.075,""threshold_decay_factor"":0.85}",300,0.625
large,20280829,5.0,300,1.0,275,25,0.9166666666666666,361.03333333333336,7909.528455384427,10.733333333333333,57.72394653328333,50.0,70.0,90.0,0.004541294453333333,0.19666666666666666,0,0.0,1,530,123,5.0,0,1e-12,26.150121065375306,5.392761423333333,0.329785,0.490198,43.137080253,16.625106041,34.635637586,1118.6249657801973,97.50726093967822,0.0645962396868345,285.13972988019475,0.00012016718463415912,-1403.7646956603903,-0.09609968218524548,-0.08106194973178557,617,0.2993692382338671,2061,162,0.1689259645464025,959,pairwise,pair__protocol_fee_rate-0p075__threshold_decay_factor-0p85,"{""protocol_fee_rate"":0.075,""threshold_decay_factor"":0.85}",300,0.625
small,20280811,0.2,300,1.0,279,21,0.93,30.816666666666666,36.376651268193335,7.71,1.4754021609566668,20.0,40.0,50.0,0.008205797666666667,0.02666666666666667,0,0.0,1,13,13,10.0,0,0.0,48.539325842696634,4.45651002,0.3716855,0.4204015,0.915753096,0.266796199,0.555825415,25.59473785106234,4.141171068037053,0.05782544928736905,16.61425683500208,0.0015224286509598803,-42.20899468606445,-0.1357746105008164,-0.09536155814108274,120,0.6857142857142857,175,173,0.17563451776649747,985,pairwise,pair__countdown_minutes-10__protocol_fee_rate-0p075,"{""countdown_minutes"":10,""protocol_fee_rate"":0.075}",300,0.625
medium,20280817,1.0,300,1.0,281,19,0.9366666666666666,97.73,499.76214286998,9.21,9.694024832916666,40.0,60.0,90.0,0.00687192033,0.11666666666666667,0,0.0,4,108,29,10.0,0,0.0,30.486944248412136,4.711273036666666,0.35744600000000004,0.4772295,6.394543824,2.827970947,5.891606139,173.5580279663789,17.637513074917823,0.059678695883211015,74.86061583035608,0.0004993083002809739,-248.41864379673507,-0.12144416353542874,-0.08541984988292793,302,0.5571955719557196,542,167,0.15935114503816794,1048,pairwise,pair__countdown_minutes-10__protocol_fee_rate-0p075,"{""countdown_minutes"":10,""protocol_fee_rate"":0.075}",300,0.625
large,20280829,5.0,300,1.0,269,31,0.8966666666666666,345.10333333333335,8275.825051130854,15.32,77.57405814932,60.0,90.0,120.0,0.00521773296,0.36,0,0.0,3,621,104,10.0,0,1e-12,19.591836734693878,7.304939336666667,0.25896450000000004,0.497212,63.106329443,21.198822942,44.164214462,1593.4017867395385,104.05889219523516,0.06846798292939837,876.2498261334333,0.000352935536424733,-2469.6516128729836,-0.10440226151137827,-0.10612016748001042,958,0.4675451439726696,2049,169,0.11434370771312584,1478,pairwise,pair__countdown_minutes-10__protocol_fee_rate-0p075,"{""countdown_minutes"":10,""protocol_fee_rate"":0.075}",300,0.625
small,20280811,0.2,300,1.0,274,26,0.9133333333333333,38.733333333333334,41.24016468272,5.593333333333334,1.1421768827566667,20.0,40.0,60.0,0.008164796366666666,0.02,0,0.0,1,13,8,5.0,0,0.0,57.37051792828685,3.4686905333333335,0.42628,0.3870555,0.6089332855,0.2696067445,0.5616807175,17.582587509852342,3.362407173198854,0.051313089870448116,15.081552666835455,0.0012190019756116348,-32.6641401766878,-0.12309308267937016,-0.09532715019834839,129,0.7914110429447853,163,131,0.21617161716171618,606,pairwise,pair__max_early_boost-0__protocol_fee_rate-0p075,"{""max_early_boost"":0.0,""protocol_fee_rate"":0.075}",300,0.625
