case_id,changes,runs,player_profitable_rate,staker_profitable_rate,combined_profitable_rate,player_ev_per_stake,player_pnl_per_stake,staker_return_per_draw,protocol_revenue_per_day,protocol_take_per_player_sol,median_funding_minutes,activation_rate,player_profit_index,staker_profit_index,revenue_day_index,protocol_take_index,user_profit_index,revenue_index,balanced_score,pareto,rank
pair__protocol_fee_rate-0p075__target_risk_probability-0p875,"{""protocol_fee_rate"":0.075,""target_risk_probability"":0.875}",3,0.19278899335956173,0.8214536913357984,0.47610011424809096,-0.13406439462955008,-0.13102285413617376,0.0011487562648798007,37.60611004208858,0.05934920568671507,40.0,1.0,0.9917586128048136,1.2654065119498383,1.607781698528529,1.516771518403457,1.1202579198227296,1.561613744860875,1.3226527002143937,True,1
pair__protocol_fee_rate-0p075__target_risk_probability-0p85,"{""protocol_fee_rate"":0.075,""target_risk_probability"":0.85}",3,0.17433454014125047,0.8685013718288012,0.4680699211640741,-0.15765132801619583,-0.17843692407696587,0.0018176823201021763,38.009541976567505,0.06057943928313616,40.0,1.0,0.9083164333227556,1.3381710122572712,1.5832948132020366,1.5520202623360535,1.102489329213406,1.5675795454589019,1.314625316035577,True,2
pair__protocol_fee_rate-0p075__risk_threshold_pct_of_safe_tvl-0p005,"{""protocol_fee_rate"":0.075,""risk_threshold_pct_of_safe_tvl"":0.005}",3,0.2157558380054334,0.6570913841640642,0.40501004184276174,-0.10674396431933061,-0.10574919319586547,0.0008122427217871875,41.17536040077792,0.05733402346451127,23.333333333333332,1.0,1.1113837840448435,1.0031531230019997,1.7836492695661772,1.4684646226521993,1.0558826231254896,1.6184022527101745,1.3072271477688262,True,3
pair__countdown_minutes-15__protocol_fee_rate-0p075,"{""countdown_minutes"":15,""protocol_fee_rate"":0.075}",3,0.11464868026502906,0.8207859455279012,0.3073642607418549,-0.12739628063072533,-0.1398827204537884,0.0019713859221037328,48.126995782850855,0.06563411292239006,43.333333333333336,1.0,0.5957848325349513,1.2642151258508765,2.2296712911534717,1.6870110954189952,0.8678710716709118,1.9394535847276944,1.297380307016264,True,4
pair__max_early_boost-0__protocol_fee_rate-0p075,"{""max_early_boost"":0.0,""protocol_fee_rate"":0.075}",3,0.18758116035067193,0.7305582427929553,0.41509882550969535,-0.10987996693204478,-0.10885809362457877,0.0007988312214224905,37.57312922293887,0.05907305890802901,40.0,1.0,0.96758019614132,1.1248153034606991,1.6015555057027848,1.5119938650832558,1.0432396713820182,1.5561304891341605,1.2741338470160273,False,5
pair__max_early_boost-0p75__protocol_fee_rate-0p075,"{""max_early_boost"":0.75,""protocol_fee_rate"":0.075}",3,0.1925415689561062,0.6724618291371469,0.417037232023707,-0.11066713336203911,-0.11889459805037988,0.0011199700228240906,37.00009562452771,0.05884243066036749,40.0,1.0,0.992520876926615,1.0346284911365677,1.6021887883007078,1.5069276116282233,1.0133559973257802,1.5538283444870937,1.2548232033640376,True,6
pair__protocol_fee_rate-0p075__threshold_decay_factor-0p95,"{""protocol_fee_rate"":0.075,""threshold_decay_factor"":0.95}",3,0.19068113983396115,0.7133563452273124,0.3949202996915194,-0.11246274331406898,-0.10769878429106022,0.0008997546081670512,35.98915737958824,0.060067558396761485,43.333333333333336,1.0,0.9782283091794218,1.0839883623158155,1.5010873622064196,1.5391107475241732,1.029751476249668,1.5199801617602158,1.2510802593929742,True,7
pair__protocol_fee_rate-0p075__risk_tvl_erosion_cap_rate-0p035,"{""protocol_fee_rate"":0.075,""risk_tvl_erosion_cap_rate"":0.035}",3,0.18581608507779915,0.7716907561614998,0.4340904249196481,-0.12318157870244936,-0.11290251380390105,0.0009031446802887726,34.8173301987336,0.05699606465864825,43.333333333333336,1.0,0.9567985148296003,1.185868810803073,1.4771343678496032,1.460931047241149,1.0651936523276528,1.4690103671990926,1.250911874731385,False,8
pair__protocol_fee_rate-0p075__threshold_decay_factor-0p85,"{""protocol_fee_rate"":0.075,""threshold_decay_factor"":0.85}",3,0.20070584310563822,0.5847935345450148,0.3331836196312078,-0.1083889842742414,-0.09516990035784616,0.0007457924003509351,38.04851184675901,0.05855392671305093,36.666666666666664,1.0,1.042583447928902,0.8344559851421688,1.5464284172981773,1.5006116869642183,0.9327325437307475,1.5233478119100785,1.1920050669311586,True,9
pair__countdown_minutes-10__protocol_fee_rate-0p075,"{""countdown_minutes"":10,""protocol_fee_rate"":0.075}",3,0.14977645683926374,0.5701516672142249,0.28902992531655347,-0.12054034518254114,-0.09563385850134036,0.000791557495888529,41.94585877939668,0.06199070936665948,40.0,1.0,0.7710589842710944,0.8693268947475457,1.8719910951077312,1.590766467560171,0.8187199230894453,1.7256594860135708,1.1886260142145646,True,10
pair__protocol_fee_rate-0p06__risk_threshold_pct_of_safe_tvl-0p005,"{""protocol_fee_rate"":0.06,""risk_threshold_pct_of_safe_tvl"":0.005}",3,0.216134939920737,0.6934545133991298,0.41367592315381746,-0.09650663025215313,-0.09907346047949392,0.0008725608806376738,33.622968516844935,0.045931804054661164,23.333333333333332,1.0,1.1208727021087883,1.0455165905304165,1.4295167716607253,1.1766886266215115,1.0825391475264974,1.2969564860772607,1.184907662569974,True,11
pair__countdown_minutes-15__protocol_fee_rate-0p06,"{""countdown_minutes"":15,""protocol_fee_rate"":0.06}",3,0.11524620367915768,0.8258128882735902,0.3130202704266816,-0.11594811272702535,-0.13090142493232937,0.00207620906437042,39.318787412104996,0.05311305776796033,40.0,1.0,0.5995120145644923,1.2716936882923866,1.8330803790891241,1.3656036108710699,0.8731527042717775,1.582169771137414,1.1753619928710017,True,12
pair__protocol_fee_rate-0p06__target_risk_probability-0p85,"{""protocol_fee_rate"":0.06,""target_risk_probability"":0.85}",3,0.17159355997698258,0.8597354237683937,0.4686099030762309,-0.14782964665222284,-0.15485260783459093,0.0015847455403963755,31.254816790827437,0.04859680805777981,40.0,1.0,0.8872834773702233,1.3262572242355677,1.2841679031557416,1.2450607463903405,1.0847885147839254,1.264463146158719,1.1711853390136535,False,13
pair__max_early_boost-0p75__protocol_fee_rate-0p06,"{""max_early_boost"":0.75,""protocol_fee_rate"":0.06}",3,0.1851580683845967,0.7575031555190074,0.44160917136807776,-0.10074501451810437,-0.11678179282764102,0.0013196122605435357,29.452163459284158,0.047101283392184834,40.0,1.0,0.9560151517157595,1.1680871624371967,1.2838177337286953,1.206265904423467,1.056744541417001,1.2444378488663588,1.1467575610922474,False,14
pair__protocol_fee_rate-0p06__risk_tvl_erosion_cap_rate-0p035,"{""protocol_fee_rate"":0.06,""risk_tvl_erosion_cap_rate"":0.035}",3,0.1926239202380901,0.7973989130361572,0.455355279458576,-0.11315920556999604,-0.1089636060969865,0.0009680092750381687,27.827897239104793,0.04594055734133961,40.0,1.0,0.9918224163071506,1.2299293618017266,1.1921253792311963,1.177007675074398,1.104477936180393,1.1845424099651711,1.1438098427083416,True,15
pair__countdown_minutes-10__protocol_fee_rate-0p06,"{""countdown_minutes"":10,""protocol_fee_rate"":0.06}",3,0.15173037490675195,0.6851408983258298,0.3200787042050077,-0.11036415913915182,-0.10801670620804812,0.0014216255314422033,34.0994698815869,0.05062242712816238,40.0,1.0,0.7838121483437175,1.039440893004225,1.5730404241873917,1.2997331191512438,0.902621958198422,1.429871580625363,1.13606051162618,False,16
pair__protocol_fee_rate-0p06__target_risk_probability-0p875,"{""protocol_fee_rate"":0.06,""target_risk_probability"":0.875}",3,0.17773814015907874,0.7462033719984114,0.420995749277073,-0.12346741407962969,-0.12157631522472147,0.0010738931838070826,28.590927970809396,0.04850483464055959,40.0,1.0,0.9189365439022366,1.1469657142716088,1.2358825816146584,1.2429558551251445,1.0266395226403044,1.239414172528747,1.1280210877632302,False,17
pair__protocol_fee_rate-0p06__threshold_decay_factor-0p85,"{""protocol_fee_rate"":0.06,""threshold_decay_factor"":0.85}",3,0.1972997315899884,0.6807602876819705,0.3874192051030507,-0.0986383883340214,-0.10604215632163452,0.0010208535318550552,31.44657333291124,0.04707999647914653,33.333333333333336,1.0,1.0226251826283475,1.0205484740571746,1.2866847619343609,1.205719990896329,1.02158630064415,1.2455446758129323,1.128021000536227,True,18
pair__protocol_fee_rate-0p06__threshold_decay_factor-0p95,"{""protocol_fee_rate"":0.06,""threshold_decay_factor"":0.95}",3,0.18792871786862608,0.7492270934706537,0.4157030834111355,-0.10251045013100847,-0.1065061952404243,0.0010740973261364126,28.580796792972638,0.04774856671759134,43.333333333333336,1.0,0.9569186404499548,1.1385756552696515,1.2084174163430261,1.2246605792642682,1.043802791761955,1.2165118877724461,1.1268533643152003,False,19
pair__max_early_boost-0__protocol_fee_rate-0p06,"{""max_early_boost"":0.0,""protocol_fee_rate"":0.06}",3,0.19515383917480902,0.6260130947371404,0.3651703906222864,-0.09943075353173624,-0.08766883145613312,0.0007052976233291009,29.796818930594924,0.04745034746479605,40.0,1.0,1.0122236609003665,0.9478368914224267,1.24669648497673,1.2136935114441887,0.979501367110854,1.2300843201002665,1.0976653739641404,False,20
pair__max_early_boost-0p75__target_risk_probability-0p85,"{""max_early_boost"":0.75,""target_risk_probability"":0.85}",3,0.18581646081523454,0.8682972975030958,0.4855394998266202,-0.14344633713241658,-0.13200123072591752,0.0016469007741371842,25.440522012683413,0.03983854836391279,40.0,1.0,0.961555697607773,1.3397777520078369,1.1041197532106726,1.0202719365657549,1.1350202337276942,1.0613681730713223,1.0975765813238492,True,21
pair__countdown_minutes-15__threshold_decay_factor-0p85,"{""countdown_minutes"":15,""threshold_decay_factor"":0.85}",3,0.11409939732388644,0.8408727963291113,0.31998978767769815,-0.10831623195578943,-0.1224836446183861,0.002228167094140661,35.07628806270711,0.04424892756603679,38.333333333333336,1.0,0.5942493783895498,1.2947038919303453,1.6287195468363926,1.1380225097325456,0.8771413700072176,1.3614402323793746,1.092783396017797,True,22
pair__countdown_minutes-15__risk_threshold_pct_of_safe_tvl-0p005,"{""countdown_minutes"":15,""risk_threshold_pct_of_safe_tvl"":0.005}",3,0.12148218857386828,0.778345212906805,0.30971571852485796,-0.10478063174703207,-0.11119282396831075,0.0016189329619699768,35.77290594183038,0.04286892440602774,23.333333333333332,1.0,0.632198123587116,1.1975701942774795,1.7050827113100078,1.1018731773278951,0.8701158714137334,1.3706877488027753,1.0920884419247625,True,23
