scenario,seed,capital_scale,activated_draws,activation_rate,player_wins,staker_wins,player_win_rate,avg_stakers,avg_staker_tvl,avg_player_positions,avg_player_tvl,median_funding_minutes,p90_funding_minutes,max_funding_minutes,avg_activation_threshold_pct,avg_pending_withdrawn_positions,draws_reaching_floor,minutes_at_floor,funding_clock_resets,funding_staker_withdrawals,queued_staker_withdrawals,avg_queued_staker_withdrawal_minutes,draws_over_24h_funding,max_abs_conservation_error,draws_per_day,avg_effective_player_wallets,median_largest_player_share,median_player_gini,median_player_winner_profit,median_staker_jackpot,median_staker_prorata,protocol_revenue,protocol_revenue_per_day,protocol_take_per_player_sol,staker_pnl,staker_return_per_draw,player_pnl,player_ev_per_stake,player_pnl_per_stake,profitable_stakers,profitable_staker_rate,stakers,profitable_players,profitable_player_rate,players,stage,case_id,changes,draws,safe_pro_rata_share
small,20270811,0.2,300,1.0,268,32,0.8933333333333333,31.79,34.65669555172,5.433333333333334,0.9416286757766666,20.0,30.0,60.0,0.008266209366666666,0.02666666666666667,0,0.0,0,22,8,5.0,0,0.0,60.41958041958042,3.3817367933333333,0.434568,0.38167399999999996,0.547073673,0.2324000995,0.5035335495,10.409804589633872,2.0965200851850034,0.03685035250598384,19.344641473322625,0.0018605968404627235,-29.75444606295652,-0.10846955134710512,-0.10532972224397859,124,0.8611111111111112,144,140,0.24822695035460993,564,screening,baseline,{},300,0.6499999999999999
medium,20270817,1.0,300,1.0,280,20,0.9333333333333333,89.66666666666667,460.99068123804335,6.86,6.733221445183333,40.0,51.00000000000023,70.0,0.006962294043333333,0.056666666666666664,0,0.0,4,100,30,5.0,0,0.0,35.49712407559573,3.9481330833333335,0.4084215,0.425777,4.1052375535,2.1404442015,4.6376291035,75.86366592039468,8.976473206685977,0.037556894342486685,43.60011044265576,0.0003152638597492012,-119.46377636305046,-0.09238259071892725,-0.059141466104861255,190,0.4103671706263499,463,137,0.2178060413354531,629,screening,baseline,{},300,0.6499999999999999
large,20270829,5.0,300,1.0,280,20,0.9333333333333333,331.36,8416.761494528324,13.066666666666666,63.86484597063333,70.0,90.0,110.0,0.005081962046666667,0.3466666666666667,0,0.0,6,716,89,5.0,0,0.0,20.26266416510319,6.19939097,0.2965835,0.5121935,52.156464417500004,19.540912942,42.338644707,848.7418883107855,57.32590615232322,0.04429885619709364,5.9462377408894245,2.354919107844124e-06,-854.6881260516693,-0.07764310722929009,-0.0446092114820457,436,0.2087123025370991,2089,170,0.1559633027522936,1090,screening,baseline,{},300,0.6499999999999999
small,20270811,0.2,300,1.0,251,49,0.8366666666666667,33.64,33.647482272363334,5.363333333333333,0.9505516232133333,20.0,30.0,50.0,0.008203795666666666,0.03333333333333333,0,0.0,0,16,9,5.0,0,0.0,59.09712722298221,3.4162298966666667,0.44238299999999997,0.37360899999999997,0.531012224,0.21731389,0.470846762,11.102771723561938,2.1871397102502312,0.03893448622330504,35.45622921851141,0.0035125192955505528,-46.5590009420733,-0.1586868707594429,-0.16327011181388504,128,0.9014084507042254,142,132,0.2218487394957983,595,screening,oat__target_risk_probability-0p85,"{""target_risk_probability"":0.85}",300,0.6499999999999999
medium,20270817,1.0,300,1.0,247,53,0.8233333333333334,96.84333333333333,582.1195185410634,7.333333333333333,7.25306413685,40.0,60.0,110.0,0.00660028049,0.11666666666666667,0,0.0,4,119,26,5.0,0,0.0,31.372549019607842,4.155811933333333,0.379342,0.44053699999999996,4.772736828,2.018493701,4.373403018,86.09196372482582,9.003081173837995,0.03956578998910093,273.3875596958324,0.0015654721008783545,-359.4795234206582,-0.13821869138257,-0.1652081183152568,456,0.902970297029703,505,123,0.1852409638554217,664,screening,oat__target_risk_probability-0p85,"{""target_risk_probability"":0.85}",300,0.6499999999999999
large,20270829,5.0,300,1.0,261,39,0.87,327.3666666666667,7984.325763717787,12.94,62.950556230846665,70.0,90.0,120.0,0.0051439785166666665,0.34,0,0.0,5,680,103,5.0,0,1e-12,20.561637315564017,6.219154296666667,0.2935535,0.4985175,48.553983988,18.342919376,39.742991982,837.2295177440418,57.38269897912519,0.04433265130990674,1205.7859526675586,0.0005033971092657846,-2043.015470411603,-0.13048686986394112,-0.10818095940352702,1367,0.6603864734299517,2070,164,0.15471698113207547,1060,screening,oat__target_risk_probability-0p85,"{""target_risk_probability"":0.85}",300,0.6499999999999999
small,20270811,0.2,300,1.0,254,46,0.8466666666666667,33.63666666666666,31.427942220413332,5.26,1.02649522739,20.0,30.0,50.0,0.008439152333333333,0.02666666666666667,0,0.0,0,17,10,5.0,0,0.0,65.95419847328245,3.2749881966666665,0.47287650000000003,0.3693305,0.5788753615,0.28835801650000004,0.6247757015,11.252332101309468,2.4737951489901735,0.03653964740430406,39.636337243010786,0.004203938113948578,-50.888669344320256,-0.13568125649013574,-0.16525054699543454,143,0.9407894736842105,152,136,0.2233169129720854,609,screening,oat__target_risk_probability-0p875,"{""target_risk_probability"":0.875}",300,0.6499999999999999
medium,20270817,1.0,300,1.0,272,28,0.9066666666666666,97.33666666666667,548.5031880936666,7.136666666666667,7.30971313527,40.0,60.0,90.0,0.006796172916666667,0.05,0,0.0,2,112,34,5.0,0,0.0,33.56643356643357,4.104753036666667,0.393246,0.4268575,4.9462466705,1.8639947989999999,4.0386553984999995,86.09801410246789,9.633344235241163,0.039261921094658425,83.7754979708418,0.0005091158373634081,-169.8735120733097,-0.11519029742268226,-0.07746474174371949,259,0.5098425196850394,508,134,0.20029895366218237,669,screening,oat__target_risk_probability-0p875,"{""target_risk_probability"":0.875}",300,0.6499999999999999
large,20270829,5.0,300,1.0,262,38,0.8733333333333333,324.98333333333335,8025.328260694817,12.85,61.09946762926,60.0,90.0,120.0,0.0051622148933333336,0.33666666666666667,0,0.0,5,673,95,5.0,0,1e-12,20.739318290926548,6.38127138,0.2839435,0.48862099999999997,48.714149937,18.160364254500003,39.347455885,822.0308457617883,56.827864517377584,0.04484659074007613,1055.4483774637313,0.0004383822248671286,-1877.4792232255222,-0.10382960216583335,-0.10242747310651432,1115,0.5525272547076313,2018,160,0.14911463187325255,1073,screening,oat__target_risk_probability-0p875,"{""target_risk_probability"":0.875}",300,0.6499999999999999
small,20270811,0.2,300,1.0,286,14,0.9533333333333334,32.79666666666667,40.859012387873335,5.573333333333333,1.03137246306,20.0,40.0,50.0,0.008095387666666667,0.04,0,0.0,2,24,8,5.0,0,0.0,55.45571245186136,3.5538276166666667,0.4192005,0.3585795,0.6146515185,0.2722540645,0.5898838065,10.806554165238998,1.9976172012765285,0.03492612854001286,3.9537462985199117,0.00032255195508130253,-14.760300463758906,-0.08149533100783107,-0.04770439710973806,79,0.4817073170731707,164,146,0.2512908777969019,581,screening,oat__target_risk_probability-0p925,"{""target_risk_probability"":0.925}",300,0.6499999999999999
medium,20270817,1.0,300,1.0,276,24,0.92,96.41666666666667,523.05587809653,7.02,7.125698812176667,40.0,60.0,80.0,0.006844183196666667,0.05333333333333334,0,0.0,2,108,34,5.0,0,0.0,34.04255319148936,4.00033908,0.40649,0.43178099999999997,4.9544655525,2.082790145,4.5127119805,83.60033159829673,9.48656245087055,0.039107430630961316,62.85302948681533,0.0004005501267891675,-146.45336108511208,-0.06479409451766516,-0.06850947298663387,234,0.4624505928853755,506,135,0.20833333333333334,648,screening,oat__target_risk_probability-0p925,"{""target_risk_probability"":0.925}",300,0.6499999999999999
large,20270829,5.0,300,1.0,280,20,0.9333333333333333,335.9266666666667,8063.008960013487,12.963333333333333,63.32847409842667,60.0,90.0,100.0,0.005153876483333333,0.37333333333333335,0,0.0,4,686,105,5.0,0,0.0,20.65997130559541,6.224400373333333,0.28774299999999997,0.503553,50.6006308165,19.07122237,41.3209818015,846.0293389719035,58.263139556171254,0.044531276597474134,17.50964359779187,7.238672181657678e-06,-863.538982569696,-0.053110466212377666,-0.0454529074987429,430,0.20456707897240722,2102,173,0.1618334892422825,1069,screening,oat__target_risk_probability-0p925,"{""target_risk_probability"":0.925}",300,0.6499999999999999
small,20270811,0.2,300,1.0,285,15,0.95,28.296666666666667,33.798208179393335,5.403333333333333,0.8996136094933334,20.0,30.0,50.0,0.008212553,0.023333333333333334,0,0.0,1,11,8,5.0,0,0.0,59.09712722298221,3.40111182,0.4414635,0.3718605,0.514597953,0.27979677,0.606226336,9.598945267308892,1.8909002988953219,0.03556691882683227,7.43491085742203,0.0007332647949815549,-17.033856124730928,-0.058038309003027845,-0.06311545291955745,110,0.7913669064748201,139,144,0.24242424242424243,594,screening,oat__target_risk_probability-0p95,"{""target_risk_probability"":0.95}",300,0.6499999999999999
medium,20270817,1.0,300,1.0,290,10,0.9666666666666667,98.55666666666667,545.5335542916466,7.083333333333333,7.728457995083334,40.0,60.0,100.0,0.006883234936666666,0.07666666666666666,0,0.0,2,105,27,5.0,0,0.0,34.36754176610979,4.01932778,0.3964475,0.426389,4.859826269,2.5209871594999997,5.462138846,86.53145914095394,9.912911787030524,0.0373215714337854,-17.142032778929504,-0.0001047416951965356,-69.38942636202444,-0.040748035060934835,-0.02992810312491329,75,0.14177693761814744,529,133,0.20090634441087613,662,screening,oat__target_risk_probability-0p95,"{""target_risk_probability"":0.95}",300,0.6499999999999999
large,20270829,5.0,300,1.0,284,16,0.9466666666666667,337.64666666666665,7661.36830313729,12.443333333333333,64.92881024674,60.0,80.0,100.0,0.005425271503333333,0.3,0,0.0,3,649,106,5.0,0,1e-12,22.245108135942328,5.923201913333333,0.304963,0.5072255,49.9895498265,18.7946184145,40.721673231,833.8564161267396,61.83075382196216,0.042808752794429826,-159.60658525203863,-6.944215834425667e-05,-674.2498308747009,-0.028540544298888738,-0.034614825494386076,260,0.1294176207068193,2009,171,0.1623931623931624,1053,screening,oat__target_risk_probability-0p95,"{""target_risk_probability"":0.95}",300,0.6499999999999999
