scenario,seed,capital_scale,activated_draws,activation_rate,player_wins,staker_wins,player_win_rate,avg_stakers,avg_staker_tvl,avg_player_positions,avg_player_tvl,median_funding_minutes,p90_funding_minutes,max_funding_minutes,avg_activation_threshold_pct,avg_pending_withdrawn_positions,draws_reaching_floor,minutes_at_floor,funding_clock_resets,funding_staker_withdrawals,queued_staker_withdrawals,avg_queued_staker_withdrawal_minutes,draws_over_24h_funding,max_abs_conservation_error,draws_per_day,avg_effective_player_wallets,median_largest_player_share,median_player_gini,median_player_winner_profit,median_staker_jackpot,median_staker_prorata,protocol_revenue,protocol_revenue_per_day,protocol_take_per_player_sol,staker_pnl,staker_return_per_draw,player_pnl,player_ev_per_stake,player_pnl_per_stake,profitable_stakers,profitable_staker_rate,stakers,profitable_players,profitable_player_rate,players
small,20260811,0.2,1000,1.0,895,105,0.895,31.435,35.844014528071,5.178,1.066352985675,20.0,30.0,60.0,0.008364477362,0.027,0,0.0,5,61,33,5.0,0,0.0,62.99212598425197,3.122403346,0.476545,0.395783,0.554496346,0.302668139,0.655780969,36.21429865574253,2.2812156633538603,0.03396089207066736,82.56666516359853,0.0023034993778092852,-118.78096381934091,-0.10817851600612499,-0.11138991067217095,372,0.8571428571428571,434,425,0.23224043715846995,1830
small,20260812,0.2,1000,1.0,897,103,0.897,33.219,41.304576296024,5.473,1.063167837819,20.0,40.0,70.0,0.00812868585,0.051,0,0.0,12,64,29,5.0,0,0.0,56.09661082976237,3.366677813,0.439454,0.39314000000000004,0.600908223,0.303762187,0.658151406,37.76958141849264,2.118745510036206,0.0355255116595456,81.33313279864754,0.00196910706009292,-119.1027142171402,-0.1065572886431042,-0.1120262577369441,362,0.8208616780045351,441,438,0.22324159021406728,1962
small,20260813,0.2,1000,1.0,893,107,0.893,32.417,36.678926476232,5.354,1.029829991345,20.0,40.0,60.0,0.008300672674999999,0.028,2,20.0,14,70,22,5.0,0,0.0,60.73386756642766,3.335262287,0.4481585,0.3855305,0.536806654,0.256831126,0.556467439,35.769920601574746,2.1724456206776734,0.034733811310794956,80.18010535270429,0.0021859992386816752,-115.95002595427918,-0.10824513792284071,-0.11259142472908958,381,0.8318777292576419,458,435,0.22114895780376206,1967
small,20260814,0.2,1000,1.0,905,95,0.905,32.025,33.874239238632,5.13,0.9631912915,20.0,30.0,60.0,0.00832131551,0.03,0,0.0,7,60,28,5.0,0,0.0,61.96213425129088,3.214907877,0.45671700000000004,0.3797815,0.499905806,0.275712671,0.597377453,34.24186055778368,2.1216987608953746,0.03555042581879873,73.88040809887643,0.0021810204379326473,-108.1222686566599,-0.108180631107435,-0.11225420081225894,369,0.8661971830985915,426,426,0.23329682365826945,1826
small,20260815,0.2,1000,1.0,894,106,0.894,31.219,36.423833227956,5.207,1.050259823826,20.0,30.0,60.0,0.00833780691,0.033,0,0.0,11,66,37,5.0,0,0.0,62.12251941328732,3.176315904,0.4659095,0.39867,0.5579909615,0.24785945650000002,0.537028823,37.184092520281084,2.3099695094566335,0.03540466051993004,84.39741695752747,0.002317093218314837,-121.58150947780845,-0.10799725532657274,-0.11576326802152474,359,0.8527315914489311,421,419,0.22710027100271002,1845
medium,20260817,1.0,1000,1.0,907,93,0.907,92.761,502.055239352601,7.218,7.206018122531,40.0,60.0,110.0,0.0068025759859999995,0.099,0,0.0,7,375,83,5.0,0,0.0,33.364226135310474,3.95863101,0.40750699999999995,0.45126299999999997,4.537575324,1.801597403,3.903461041,272.4625231157861,9.090501234632345,0.03781041325220633,295.22567743577775,0.0005880342525983208,-567.6882005515648,-0.09186308505623875,-0.07877973534046115,870,0.5962988348183688,1459,457,0.20105587329520458,2273
medium,20260818,1.0,1000,1.0,877,123,0.877,99.012,509.592069080699,7.31,7.148618606085,40.0,60.0,100.0,0.006784950443,0.09,0,0.0,8,394,110,5.0,0,0.0,33.14917127071823,4.103762682,0.3950555,0.4443205,4.667492528,1.95321094,4.231957036,280.91734048082594,9.312177032513567,0.03929673073364222,539.9990739455841,0.0010596693055285164,-820.9164144264098,-0.09177666645393313,-0.11483567101028964,1263,0.8292843072882469,1523,450,0.18979333614508645,2371
medium,20260819,1.0,1000,1.0,902,98,0.902,97.496,459.443726159643,6.953,6.872022193027,30.0,60.0,90.0,0.006987372357,0.098,0,0.0,14,342,90,5.0,0,0.0,35.529237601776465,3.952629012,0.4005425,0.436247,4.362433739,1.7301135090000002,3.7485792695,261.77038265514807,9.3005021224627,0.03809219110508182,357.47474146539446,0.0007780599039917734,-619.2451241205432,-0.09323693253435633,-0.09011104835326128,1040,0.7041299932295193,1477,462,0.208955223880597,2211
medium,20260820,1.0,1000,1.0,871,129,0.871,102.182,573.286502639477,7.386,7.70180913071,40.0,60.0,90.0,0.006646963954,0.098,0,0.0,14,397,82,5.0,0,0.0,31.64139749505603,4.04858289,0.4022435,0.4554595,5.01585839,2.108957492,4.569407898,300.8360177434489,9.518872018250196,0.039060435364971814,611.4179589338775,0.0010665137869439432,-912.2539766773248,-0.08982545751939464,-0.11844671312871448,1266,0.8226120857699805,1539,431,0.18995152049360953,2269
medium,20260821,1.0,1000,1.0,920,80,0.92,98.24,478.111849515015,6.929,7.073863583891,30.0,60.0,100.0,0.007014736737,0.098,0,0.0,12,361,94,5.0,0,0.0,35.964035964035965,4.045154154,0.3833495,0.4265335,4.7802654975,1.919534655,4.1589917525,276.4113232956931,9.940866771873077,0.03907501466739506,248.59093274148697,0.0005199430488778966,-525.0022560371788,-0.09325726120349212,-0.07421718694614686,912,0.6092184368737475,1497,460,0.2060931899641577,2232
