draw,staker_count,staker_tvl,initial_player_threshold,player_threshold,activation_threshold_pct,funding_minutes,threshold_decay_steps,cycle_minutes,pending_withdrawn_count,pending_withdrawn_tvl,player_position_count,player_tvl,bootstrap_player_tvl,countdown_player_tvl,player_effective_wallet_count,player_largest_share,player_gini,median_player_profit_multiple,target_player_probability,activated,activation_reason,winner_mode,winner_id,gross_prize,protocol_fee,winner_profit,staker_jackpot_paid,staker_pro_rata_paid,staker_erosion_paid,protocol_revenue_cumulative,staker_cumulative_pnl,player_cumulative_pnl
1,29,23.867725654,0.238677257,0.214809531,0.009,10,1,15,0,0,7,1.47332489,0.774556729,0.698768161,3.382603,0.435932,0.496235,6.777274601,0.9,True,activated,player,player_00006,1.47332489,0.041552738,0.80620942,0.0,0.0,0.016707408,0.041552738,-0.016707408,-0.02484533
2,33,26.575088544,0.265750885,0.239175797,0.009,10,1,15,0,0,4,2.638667556,1.440406856,1.1982607,1.244002,0.893403,0.418311,8.244393409,0.9,True,activated,player,player_00012,2.638667556,0.014063752,0.285813856,0.0,0.0,0.018602562,0.05561649,-0.03530997,-0.02030652
3,32,26.146098708,0.261460987,0.235314888,0.009,10,1,15,0,0,2,0.251897321,0.251897321,0,1.253272,0.885948,0.385948,4.097287319,0.9,True,activated,staker,staker_00015,0.251897321,0.012594866,0.075569196,0.075569196,0.163733259,0.0,0.068211356,0.203992485,-0.272203841
4,33,39.617939027,0.39617939,0.320905306,0.0081,20,2,25,0,0,7,1.019700203,0.745862186,0.273838017,2.820936,0.56242,0.507064,15.359927295,0.9,True,activated,player,player_00012,1.019700203,0.022310037,0.451623254,0.0,0.0,0.027732557,0.090521393,0.176259928,-0.26678132
5,31,37.044898078,0.370448981,0.300063674,0.0081,20,2,25,0,0,4,1.656768485,1.350325893,0.306442592,1.644747,0.755977,0.591901,12.169893663,0.9,True,activated,player,player_00017,1.656768485,0.020214447,0.410005913,0.0,0.0,0.025931429,0.110735839,0.150328499,-0.261064338
6,30,32.725590969,0.32725591,0.265077287,0.0081,20,2,25,0,0,7,1.399982639,0.301899063,1.098083576,3.228792,0.477363,0.545193,12.752057794,0.9,True,activated,staker,staker_00001,1.399982639,0.069999132,0.419994792,0.419994792,0.909988715,0.0,0.180734971,1.480312006,-1.661046977
7,31,32.87800107,0.328780011,0.328780011,0.01,0,0,5,0,0,4,2.184824793,0.510139272,1.674685521,1.964405,0.669812,0.524726,7.682967127,0.9,True,activated,player,player_00017,2.184824793,0.083734276,1.613965846,0.0,0.0,0.023014601,0.264469247,1.457297405,-1.721766652
8,31,32.854986469,0.328549865,0.239512851,0.00729,30,3,35,0,0,7,1.35397891,0.289131523,1.064847387,2.091991,0.678455,0.56033,15.072920742,0.9,True,activated,player,player_00003,1.35397891,0.064018891,1.239357416,0.0,0.0,0.022998491,0.328488138,1.434298915,-1.762787053
9,33,34.30107051,0.343010705,0.308709635,0.009,10,1,15,0,0,7,3.32223356,0.380483987,2.941749573,4.397622,0.275945,0.386347,5.377653007,0.9,True,activated,player,player_00004,3.32223356,0.14098283,2.702684517,0.0,0.0,0.024010749,0.469470968,1.410288165,-1.879759133
10,33,34.277059761,0.342770598,0.277644184,0.0081,20,2,25,0,0,8,2.034401024,0.336768199,1.697632825,3.863865,0.411118,0.525561,12.125156332,0.9,True,activated,player,player_00016,2.034401024,0.09939356,1.912471575,0.0,0.0,0.023993942,0.568864527,1.386294224,-1.955158751
11,33,34.253065819,0.342530658,0.342530658,0.01,0,0,5,0,0,2,1.102345103,0.882710982,0.219634121,1.468623,0.800757,0.300757,2.095382376,0.9,True,activated,player,player_00017,1.102345103,0.010981706,0.232629561,0.0,0.0,0.023977146,0.579846233,1.362317078,-1.942163311
