participant_id,mode,archetype,staker_principal,active,active_from_draw,bankroll,cumulative_pnl,wins,losses,entries,withdrawals,fees_paid,pro_rata_received
player_00001,player,persistent_player,0.0,True,1,0.483998681,-0.237691737,1,12,13,1,0.025182565,0.0
player_00002,player,persistent_player,0.0,True,1,0.238084094,-0.44484615,0,10,10,0,0.0,0.0
player_00003,player,persistent_player,0.0,True,1,0.841904016,0.117239429,2,10,12,0,0.079146006,0.0
player_00004,player,persistent_player,0.0,True,1,3.795029781,0.853803707,6,9,17,0,0.224439195,0.0
player_00005,player,persistent_player,0.0,True,1,2.313159951,0.93416843,3,4,7,0,0.080074056,0.0
player_00006,player,persistent_player,0.0,True,1,9.277923315,1.837112789,5,5,10,0,0.294001185,0.0
player_00007,player,persistent_player,0.0,True,1,0.815604716,-0.698395941,1,11,12,0,0.019547605,0.0
player_00008,player,persistent_player,0.0,True,1,0.95571248,0.45571248,2,12,15,0,0.052491393,0.0
player_00009,player,occasional_player,0.0,True,1,0.087718228,-0.32723605,0,12,12,0,0.0,0.0
player_00010,player,occasional_player,0.0,True,1,0.077282737,-0.200238676,0,9,9,0,0.0,0.0
player_00011,player,occasional_player,0.0,True,1,1.97719094,-0.996916035,5,8,13,0,0.093084579,0.0
player_00012,player,occasional_player,0.0,True,1,4.44261232,-2.55738768,4,7,12,0,0.091142129,0.0
player_00013,player,opportunistic_player,0.0,True,1,0.964512739,-0.16689728,2,14,16,0,0.08978118,0.0
player_00014,player,occasional_player,0.0,True,1,0.037081442,-0.162918558,0,10,10,0,0.0,0.0
player_00015,player,occasional_player,0.0,True,1,0.219888216,-0.422736443,1,14,15,0,0.019591594,0.0
player_00016,player,opportunistic_player,0.0,True,1,4.541325988,2.380367763,5,6,11,0,0.244407338,0.0
player_00017,player,occasional_player,0.0,True,1,8.495832773,2.055464878,9,5,14,0,0.266287999,0.0
player_00018,player,occasional_player,0.0,True,1,0.991125566,-1.114611259,1,7,9,0,0.023009806,0.0
player_00019,player,occasional_player,0.0,True,1,0.347816638,-0.039409596,1,13,14,0,0.043851784,0.0
player_00020,player,opportunistic_player,0.0,True,1,0.110796894,-0.732337725,0,16,16,0,0.0,0.0
player_00021,player,occasional_player,0.0,True,1,0.561263128,-1.188014319,1,11,12,0,0.043497797,0.0
player_00022,player,occasional_player,0.0,True,1,3.309730887,-3.690269113,1,7,8,0,0.021334312,0.0
player_00023,player,occasional_player,0.0,True,1,0.098270888,-0.727458331,0,14,14,0,0.0,0.0
player_00024,player,occasional_player,0.0,True,1,0.185045657,-0.346761244,0,9,9,0,0.0,0.0
player_00025,player,occasional_player,0.0,True,1,0.256973344,-0.462706664,0,8,8,0,0.0,0.0
player_00026,player,occasional_player,0.0,True,1,0.310659892,-0.373117092,1,7,8,2,0.012288409,0.0
player_00027,player,player_whale,0.0,True,1,16.518893576,-4.019301101,2,8,10,0,0.110945366,0.0
player_00028,player,occasional_player,0.0,True,1,0.691866505,-0.176160316,2,11,14,0,0.05865882,0.0
player_00029,player,occasional_player,0.0,True,1,0.390091224,-1.350766662,0,11,11,0,0.0,0.0
player_00030,player,occasional_player,0.0,True,1,0.217633026,-0.374488326,0,6,6,0,0.0,0.0
player_00031,player,occasional_player,0.0,True,1,0.240129917,-0.455308089,0,8,8,0,0.0,0.0
player_00032,player,occasional_player,0.0,True,1,0.05765054,-0.221191257,0,10,10,0,0.0,0.0
player_00033,player,occasional_player,0.0,True,1,0.510762315,-0.951084618,0,6,6,1,0.0,0.0
player_00034,player,occasional_player,0.0,True,1,3.820946132,-3.179053868,2,6,8,0,0.039419143,0.0
player_00035,player,occasional_player,0.0,True,1,0.454259085,-0.75295207,0,5,5,0,0.0,0.0
player_00036,player,opportunistic_player,0.0,True,1,6.38885035,0.671968546,2,3,5,0,0.087068724,0.0
player_00037,player,occasional_player,0.0,True,1,1.837202041,1.111964563,2,3,5,0,0.070886236,0.0
player_00038,player,occasional_player,0.0,True,1,0.782437054,-0.07676845,2,11,13,0,0.074881788,0.0
player_00039,player,opportunistic_player,0.0,True,1,2.425496633,-1.039178468,1,4,5,0,0.013535733,0.0
player_00040,player,occasional_player,0.0,True,1,0.121034748,-0.438501633,0,11,11,1,0.0,0.0
player_00041,player,occasional_player,0.0,True,1,0.486261754,-0.714427877,3,11,14,0,0.044232737,0.0
player_00042,player,occasional_player,0.0,True,1,0.092375749,-0.366998849,0,10,10,0,0.0,0.0
player_00043,player,occasional_player,0.0,True,1,1.655815524,0.326482382,3,4,7,0,0.075556318,0.0
player_00044,player,occasional_player,0.0,True,1,2.238795715,0.422442989,3,5,8,0,0.109940287,0.0
player_00045,player,occasional_player,0.0,True,1,2.542302209,0.337805697,3,9,12,0,0.143020623,0.0
player_00046,player,occasional_player,0.0,True,1,0.17791748,-0.646069079,0,12,12,0,0.0,0.0
player_00047,player,occasional_player,0.0,True,1,0.157138809,-0.162201737,0,6,6,0,0.0,0.0
player_00048,player,occasional_player,0.0,True,1,1.018697727,-1.321394982,0,6,6,0,0.0,0.0
player_00049,player,occasional_player,0.0,True,1,0.314167647,-0.284115206,0,5,5,0,0.0,0.0
player_00050,player,occasional_player,0.0,True,1,0.591088979,-0.433491007,0,4,4,0,0.0,0.0
player_00051,player,occasional_player,0.0,True,1,0.663169242,-0.168286371,1,9,10,0,0.048084676,0.0
player_00052,player,occasional_player,0.0,True,1,0.046394288,-0.223719804,0,9,9,0,0.0,0.0
player_00053,player,opportunistic_player,0.0,True,1,0.631281031,-0.491850674,1,7,8,1,0.014944689,0.0
player_00054,player,player_whale,0.0,True,1,6.717457454,-0.282542546,5,5,10,0,0.062003394,0.0
player_00055,player,occasional_player,0.0,True,1,0.0947204,-0.16599543,0,7,7,0,0.0,0.0
player_00056,player,occasional_player,0.0,True,1,0.139739114,-0.107211538,0,5,5,0,0.0,0.0
player_00057,player,occasional_player,0.0,True,1,0.498000265,-0.044786515,1,6,7,0,0.022636327,0.0
player_00058,player,opportunistic_player,0.0,True,1,1.568660271,-0.360653687,2,6,8,0,0.047721565,0.0
player_00059,player,occasional_player,0.0,True,1,0.098041939,-0.360996148,0,9,9,0,0.0,0.0
player_00060,player,occasional_player,0.0,True,1,0.605353024,-0.317172394,0,3,3,0,0.0,0.0
player_00061,player,occasional_player,0.0,True,1,0.109562232,-0.098794612,0,6,6,0,0.0,0.0
player_00062,player,occasional_player,0.0,True,1,0.675880465,-1.237674085,1,6,7,0,0.00775084,0.0
player_00063,player,occasional_player,0.0,True,1,0.126151371,-0.273894081,0,9,9,0,0.0,0.0
player_00064,player,occasional_player,0.0,True,1,0.597405491,0.367891305,1,7,8,0,0.033372238,0.0
player_00065,player,occasional_player,0.0,True,1,0.206342457,-0.47530878,0,7,7,0,0.0,0.0
player_00066,player,occasional_player,0.0,True,1,0.323835609,-0.526880999,0,7,7,0,0.0,0.0
player_00067,player,occasional_player,0.0,True,1,0.188655625,-0.421086496,0,8,8,0,0.0,0.0
player_00068,player,opportunistic_player,0.0,True,1,0.379999998,-0.841908997,0,9,9,0,0.0,0.0
player_00069,player,opportunistic_player,0.0,True,1,0.473118613,-0.212266011,2,10,12,0,0.035177491,0.0
player_00070,player,occasional_player,0.0,True,1,0.464591732,0.234961835,1,3,4,0,0.020925355,0.0
player_00071,player,occasional_player,0.0,True,1,0.679416552,-0.003102801,1,7,8,0,0.023782772,0.0
player_00072,player,occasional_player,0.0,True,1,0.389103993,-0.59199522,0,7,7,0,0.0,0.0
player_00073,player,occasional_player,0.0,True,1,3.693085873,2.879883265,3,5,8,0,0.201140705,0.0
player_00074,player,occasional_player,0.0,True,1,0.10879861,-0.148135777,0,5,5,0,0.0,0.0
player_00075,player,occasional_player,0.0,True,1,1.89280839,0.924476614,4,4,8,0,0.112013612,0.0
player_00076,player,opportunistic_player,0.0,True,1,4.333366665,0.332861423,2,1,3,0,0.018681067,0.0
player_00077,player,occasional_player,0.0,True,1,0.322098708,-0.442824241,0,5,5,0,0.0,0.0
player_00078,player,occasional_player,0.0,True,1,0.274646126,-0.40464722,0,6,6,0,0.0,0.0
player_00079,player,occasional_player,0.0,True,1,0.973715122,0.01025954,1,6,7,0,0.038489082,0.0
player_00080,player,opportunistic_player,0.0,True,1,2.782351542,0.757387203,5,3,8,0,0.109639032,0.0
player_00081,player,occasional_player,0.0,True,1,1.179247325,-0.832128745,1,4,5,0,0.001678822,0.0
player_00082,player,occasional_player,0.0,True,1,0.139162851,-0.083206996,0,3,3,0,0.0,0.0
player_00083,player,opportunistic_player,0.0,True,1,1.53708213,-2.050347878,1,10,11,0,0.011706404,0.0
player_00084,player,occasional_player,0.0,True,1,0.138707723,-0.191943079,0,7,7,0,0.0,0.0
player_00085,player,occasional_player,0.0,True,1,1.758583032,0.614675733,2,3,5,0,0.052469419,0.0
player_00086,player,occasional_player,0.0,True,1,0.555609395,-1.436112883,1,11,12,0,0.031229894,0.0
player_00087,player,occasional_player,0.0,True,1,0.409582743,-0.312593657,0,4,4,0,0.0,0.0
player_00088,player,player_whale,0.0,True,1,23.617266307,0.511085469,4,2,6,0,0.146108463,0.0
player_00089,player,occasional_player,0.0,True,1,1.436579351,0.478913392,1,7,8,0,0.052507122,0.0
player_00090,player,occasional_player,0.0,True,1,0.164055398,-0.306963336,0,9,9,0,0.0,0.0
player_00091,player,occasional_player,0.0,True,1,2.615065484,0.26722325,2,2,4,0,0.074945341,0.0
player_00092,player,occasional_player,0.0,True,1,0.214100395,-0.459119883,0,7,7,0,0.0,0.0
player_00093,player,occasional_player,0.0,True,1,0.134170906,-0.435223547,0,8,8,1,0.0,0.0
player_00094,player,opportunistic_player,0.0,True,1,0.859246691,-0.130461084,1,7,8,0,0.030129387,0.0
player_00095,player,occasional_player,0.0,True,1,0.151205811,-0.621646149,0,10,10,0,0.0,0.0
player_00096,player,occasional_player,0.0,True,1,0.58354355,0.004556555,1,6,7,0,0.024221629,0.0
player_00097,player,occasional_player,0.0,True,1,0.393712042,-1.191862512,0,9,9,0,0.0,0.0
player_00098,player,occasional_player,0.0,True,1,0.879033384,0.249697698,1,5,6,0,0.03626182,0.0
player_00099,player,occasional_player,0.0,True,1,1.353673853,-0.405711875,1,6,7,1,0.027065066,0.0
player_00100,player,occasional_player,0.0,True,1,0.861586926,0.201868225,1,0,1,0,0.009409469,0.0
player_00101,player,occasional_player,0.0,True,1,2.106594087,-2.524467197,2,6,8,0,0.043856495,0.0
player_00102,player,occasional_player,0.0,True,1,0.347055577,-0.445341045,0,5,5,0,0.0,0.0
player_00103,player,occasional_player,0.0,True,1,0.120926086,-0.145977099,0,7,7,0,0.0,0.0
