draw,phase,participant_id,archetype,amount,player_tvl_before_deposit,early_boost,second_draw_weight,entered_at_minute,withdrawn_at_minute,probability_if_player_side_wins,probability_side_and_wallet,profit_if_win,payout_multiple,ev,status,pnl,fee_paid
1,bootstrap,player_00004,persistent_player,0.132286589,0,1.5,0.198429884,0,,0.117929497,0.106136547,1.290693794,9.756800018,0.018743636,lost,-0.132286589,0.0
1,bootstrap,player_00006,persistent_player,0.64227014,0.132286589,1.222875587,0.785416475,10,,0.466783369,0.420105032,0.80620942,1.255249731,-0.033756587,won,0.80620942,0.041552738
1,countdown,player_00002,persistent_player,0.084191274,0.774556729,1.0,0.084191274,10,,0.108934271,0.098040844,1.242236387,6.777274601,-0.043534146,lost,-0.084191274,0.0
1,countdown,player_00009,occasional_player,0.049653735,0.858748003,1.0,0.049653735,10,,0.02950987,0.026558883,1.369195005,27.574864312,-0.011970698,lost,-0.049653735,0.0
1,countdown,player_00010,occasional_player,0.049670456,0.908401738,1.0,0.049670456,10,,0.029519807,0.026567826,1.36917912,27.565261737,-0.011974707,lost,-0.049670456,0.0
1,countdown,player_00011,occasional_player,0.416149584,0.958072194,1.0,0.416149584,10,,0.247323186,0.222590867,1.021023949,2.453502269,-0.096247881,lost,-0.416149584,0.0
1,countdown,player_00002,persistent_player,0.099103112,1.374221778,1.0,0.099103112,10,,0.108934271,0.098040844,1.242236387,6.777274601,-0.043534146,lost,-0.099103112,0.0
2,bootstrap,player_00004,persistent_player,0.135449717,0,1.5,0.203174576,0,,0.067136047,0.060422442,2.396659509,17.694090192,0.017546507,lost,-0.135449717,0.0
2,bootstrap,player_00012,occasional_player,1.304957139,0.135449717,1.245156603,1.624875998,10,,0.88467812,0.796210308,0.285813856,0.121241522,-0.252844355,won,0.285813856,0.014063752
2,countdown,player_00013,opportunistic_player,0.145825329,1.440406856,1.0,0.145825329,10,,0.048185833,0.04336725,2.386802678,16.367545295,-0.035992218,lost,-0.145825329,0.0
2,countdown,player_00012,occasional_player,1.052435371,1.586232185,1.0,1.052435371,10,,0.88467812,0.796210308,0.285813856,0.121241522,-0.252844355,winner_wallet_merged,0.0,0.0
3,bootstrap,player_00007,persistent_player,0.223167851,0,1.5,0.334751776,0,,0.915660385,0.824094346,0.044925809,0.201309502,-0.002233381,lost,-0.223167851,0.0
3,bootstrap,player_00001,persistent_player,0.02872947,0.223167851,1.073229158,0.030833305,10,,0.084339615,0.075905654,0.229642271,7.993265136,-0.009117594,lost,-0.02872947,0.0
4,bootstrap,player_00013,opportunistic_player,0.058012087,0,1.5,0.08701813,0,,0.06908914,0.062180226,0.941336268,16.226554089,0.00412762,lost,-0.058012087,0.0
4,bootstrap,player_00007,persistent_player,0.114350629,0.058012087,1.426785582,0.163153829,10,,0.129538037,0.116584233,0.887814653,7.763968247,0.002486042,lost,-0.114350629,0.0
4,bootstrap,player_00012,occasional_player,0.57349947,0.172362716,1.282468851,0.735495206,20,,0.583955681,0.525560113,0.451623254,0.787486785,-0.034735856,won,0.451623254,0.022310037
4,countdown,player_00002,persistent_player,0.044698699,0.745862186,1.0,0.044698699,20,,0.035489095,0.031940185,0.953983986,21.342544805,-0.012800589,lost,-0.044698699,0.0
4,countdown,player_00014,occasional_player,0.042768352,0.790560885,1.0,0.042768352,20,,0.033956472,0.030560824,0.955817816,22.348717476,-0.012250735,lost,-0.042768352,0.0
4,countdown,player_00015,occasional_player,0.061094555,0.833329237,1.0,0.061094555,20,,0.048506791,0.043656112,0.938407923,15.359927295,-0.017460163,lost,-0.061094555,0.0
4,countdown,player_00016,opportunistic_player,0.125276411,0.894423792,1.0,0.125276411,20,,0.099464784,0.089518306,0.87743516,7.003993431,-0.03551537,lost,-0.125276411,0.0
5,bootstrap,player_00009,occasional_player,0.076114895,0,1.5,0.114172342,0,,0.052752774,0.047477497,1.527552339,20.069032995,2.3211e-05,lost,-0.076114895,0.0
5,bootstrap,player_00014,occasional_player,0.021731444,0.076114895,1.397266697,0.030364623,10,,0.014029826,0.012626843,1.579216618,72.669658657,-0.001516523,lost,-0.021731444,0.0
5,bootstrap,player_00017,occasional_player,1.252479554,0.097846339,1.367935473,1.713311211,20,,0.791627094,0.712464384,0.410005913,0.327355374,-0.068017869,won,0.410005913,0.020214447
5,countdown,player_00018,occasional_player,0.306442592,1.350325893,1.0,0.306442592,20,,0.141590306,0.127431275,1.308741027,4.270754331,-0.100617684,lost,-0.306442592,0.0
